"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia PALPA",,,,,,,,,
"Viviendas particulares (001)",3457,498,1072,899,558,239,111,36,44
"Ocupantes presentes (002)",12783,1474,3592,3440,2339,1028,519,159,232
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3301,410,1038,883,547,233,111,36,43
"Ocupantes presentes (005)",12289,1225,3489,3377,2286,1008,519,159,226
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",5,1,2,,,1,,,1
"Ocupantes presentes (008)",17,1,8,,,2,,,6
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",13,7,2,2,,2,,,
"Ocupantes presentes (011)",51,25,9,7,,10,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",26,15,4,3,2,2,,,
"Ocupantes presentes (014)",85,46,14,12,11,2,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",87,47,25,7,7,1,,,
"Ocupantes presentes (017)",263,121,71,29,36,6,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",9,4,,4,1,,,,
"Ocupantes presentes (020)",32,15,,15,2,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",4,2,1,,1,,,,
"Ocupantes presentes (023)",9,4,1,,4,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",12,12,,,,,,,
"Ocupantes presentes (026)",37,37,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2192,258,681,558,374,174,82,30,35
"Ocupantes presentes (029)",8397,820,2330,2207,1578,753,391,131,187
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2125,219,672,549,370,169,82,30,34
"Ocupantes presentes (032)",8170,696,2298,2173,1561,739,391,131,181
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",5,1,2,,,1,,,1
"Ocupantes presentes (035)",17,1,8,,,2,,,6
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",13,7,2,2,,2,,,
"Ocupantes presentes (038)",51,25,9,7,,10,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",26,15,4,3,2,2,,,
"Ocupantes presentes (041)",85,46,14,12,11,2,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",9,4,,4,1,,,,
"Ocupantes presentes (047)",32,15,,15,2,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,,1,,1,,,,
"Ocupantes presentes (050)",5,,1,,4,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",12,12,,,,,,,
"Ocupantes presentes (053)",37,37,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1265,240,391,341,184,65,29,6,9
"Ocupantes presentes (056)",4386,654,1262,1233,761,275,128,28,45
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1176,191,366,334,177,64,29,6,9
"Ocupantes presentes (059)",4119,529,1191,1204,725,269,128,28,45
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",87,47,25,7,7,1,,,
"Ocupantes presentes (071)",263,121,71,29,36,6,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,2,,,,,,,
"Ocupantes presentes (077)",4,4,,,,,,,
"Otro tipo",,,,,,,,,
