"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAYTARA (000)",375,6,163,109,71,26
"Conviviente (001)",102,,59,31,10,2
"Separado(a) (002)",11,,3,4,3,1
"Casado(a) (003)",130,,14,52,47,17
"Viudo(a) (004)",10,,,,5,5
"Divorciado(a) (005)",2,,,1,1,
"Soltero(a) (006)",120,6,87,21,5,1
"Hombres (008)",298,6,118,95,55,24
"Conviviente (009)",83,,47,28,6,2
"Separado(a) (010)",7,,1,3,2,1
"Casado(a) (011)",114,,12,46,40,16
"Viudo(a) (012)",7,,,,3,4
"Soltero(a) (014)",87,6,58,18,4,1
"Mujeres (016)",77,,45,14,16,2
"Conviviente (017)",19,,12,3,4,
"Separado(a) (018)",4,,2,1,1,
"Casado(a) (019)",16,,2,6,7,1
"Viudo(a) (020)",3,,,,2,1
"Divorciado(a) (021)",2,,,1,1,
"Soltero(a) (022)",33,,29,3,1,
,,,,,,
"AREA URBANA (024)",147,2,72,45,21,7
"Conviviente (025)",39,,23,12,4,
"Separado(a) (026)",7,,3,3,1,
"Casado(a) (027)",40,,1,20,14,5
"Viudo(a) (028)",1,,,,,1
"Divorciado(a) (029)",1,,,1,,
"Soltero(a) (030)",59,2,45,9,2,1
"Hombres (032)",106,2,49,37,11,7
"Conviviente (033)",28,,16,11,1,
"Separado(a) (034)",3,,1,2,,
"Casado(a) (035)",30,,,16,9,5
"Viudo(a) (036)",1,,,,,1
"Soltero(a) (038)",44,2,32,8,1,1
"Mujeres (040)",41,,23,8,10,
"Conviviente (041)",11,,7,1,3,
"Separado(a) (042)",4,,2,1,1,
"Casado(a) (043)",10,,1,4,5,
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",15,,13,1,1,
,,,,,,
"AREA RURAL (048)",228,4,91,64,50,19
"Conviviente (049)",63,,36,19,6,2
"Separado(a) (050)",4,,,1,2,1
"Casado(a) (051)",90,,13,32,33,12
"Viudo(a) (052)",9,,,,5,4
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",61,4,42,12,3,
"Hombres (056)",192,4,69,58,44,17
"Conviviente (057)",55,,31,17,5,2
"Separado(a) (058)",4,,,1,2,1
"Casado(a) (059)",84,,12,30,31,11
"Viudo(a) (060)",6,,,,3,3
"Soltero(a) (062)",43,4,26,10,3,
"Mujeres (064)",36,,22,6,6,2
"Conviviente (065)",8,,5,2,1,
"Casado(a) (067)",6,,1,2,2,1
"Viudo(a) (068)",3,,,,2,1
"Divorciado(a) (069)",1,,,,1,
"Soltero(a) (070)",18,,16,2,,
