"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia GRAU (000)",11467,9045,2422
"De 3 a 5 años (001)",1816,98,1718
"De 6 a 11 años (002)",3984,3422,562
"De 12 a 16 años (003)",3173,3146,27
"De 17 a 24 años (004)",2494,2379,115
"Hombres (005)",6000,4774,1226
"De 3 a 5 años (006)",936,46,890
"De 6 a 11 años (007)",2048,1757,291
"De 12 a 16 años (008)",1741,1727,14
"De 17 a 24 años (009)",1275,1244,31
"Mujeres (010)",5467,4271,1196
"De 3 a 5 años (011)",880,52,828
"De 6 a 11 años (012)",1936,1665,271
"De 12 a 16 años (013)",1432,1419,13
"De 17 a 24 años (014)",1219,1135,84
,,,
"URBANA (015)",4723,3882,841
"De 3 a 5 años (016)",693,45,648
"De 6 a 11 años (017)",1510,1343,167
"De 12 a 16 años (018)",1341,1334,7
"De 17 a 24 años (019)",1179,1160,19
"Hombres (020)",2402,1960,442
"De 3 a 5 años (021)",352,18,334
"De 6 a 11 años (022)",743,649,94
"De 12 a 16 años (023)",720,714,6
"De 17 a 24 años (024)",587,579,8
"Mujeres (025)",2321,1922,399
"De 3 a 5 años (026)",341,27,314
"De 6 a 11 años (027)",767,694,73
"De 12 a 16 años (028)",621,620,1
"De 17 a 24 años (029)",592,581,11
,,,
"RURAL (030)",6744,5163,1581
"De 3 a 5 años (031)",1123,53,1070
"De 6 a 11 años (032)",2474,2079,395
"De 12 a 16 años (033)",1832,1812,20
"De 17 a 24 años (034)",1315,1219,96
"Hombres (035)",3598,2814,784
"De 3 a 5 años (036)",584,28,556
"De 6 a 11 años (037)",1305,1108,197
"De 12 a 16 años (038)",1021,1013,8
"De 17 a 24 años (039)",688,665,23
"Mujeres (040)",3146,2349,797
"De 3 a 5 años (041)",539,25,514
"De 6 a 11 años (042)",1169,971,198
"De 12 a 16 años (043)",811,799,12
"De 17 a 24 años (044)",627,554,73
