"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHUPACA (000)",14757,84,4541,5277,1995,718,299,108,12,,1723
"Catolica (001)",13290,75,4047,4736,1840,641,275,97,12,,1567
"Cristiana / Evangelica (002)",1265,8,435,463,138,65,20,9,,,127
"Otra (003)",95,,29,35,6,4,2,2,,,17
"Ninguna (004)",107,1,30,43,11,8,2,,,,12
,,,,,,,,,,,
"URBANA (006)",8878,38,2578,3153,1267,460,201,69,9,,1103
"Catolica (007)",8006,33,2297,2831,1174,413,187,60,9,,1002
"Cristiana / Evangelica (008)",735,5,245,270,79,37,12,8,,,79
"Otra (009)",68,,21,25,5,3,2,1,,,11
"Ninguna (010)",69,,15,27,9,7,,,,,11
,,,,,,,,,,,
"RURAL (012)",5879,46,1963,2124,728,258,98,39,3,,620
"Catolica (013)",5284,42,1750,1905,666,228,88,37,3,,565
"Cristiana / Evangelica (014)",530,3,190,193,59,28,8,1,,,48
"Otra (015)",27,,8,10,1,1,,1,,,6
"Ninguna (016)",38,1,15,16,2,1,2,,,,1
