"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9225,9037,2300,1371,1373,998,1294,812,889,188
"Católica (001)",7095,6963,1771,1084,1093,786,981,612,636,132
"Cristiana/Evangélica (002)",1007,976,240,120,121,108,147,105,135,31
"Otra (003)",958,936,243,134,126,91,149,84,109,22
"Ninguna (004)",165,162,46,33,33,13,17,11,9,3
,,,,,,,,,,
"URBANA (006)",3324,3261,903,508,547,388,436,240,239,63
"Católica (007)",2821,2767,745,445,482,332,370,204,189,54
"Cristiana/Evangélica (008)",237,232,64,29,28,26,36,21,28,5
"Otra (009)",220,216,77,24,31,26,26,13,19,4
"Ninguna (010)",46,46,17,10,6,4,4,2,3,
,,,,,,,,,,
"RURAL (012)",5901,5776,1397,863,826,610,858,572,650,125
"Católica (013)",4274,4196,1026,639,611,454,611,408,447,78
"Cristiana/Evangélica (014)",770,744,176,91,93,82,111,84,107,26
"Otra (015)",738,720,166,110,95,65,123,71,90,18
"Ninguna (016)",119,116,29,23,27,9,13,9,6,3
