"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TARATA (000)",7686,111,1759,1792,1546,1487,991
"Jefe o Jefa (001)",2843,,3,376,815,957,692
"Esposa(o) / compañera(o) (002)",1225,,1,279,393,370,182
"Hijo(a) / hijastro(a) (003)",2564,79,1431,813,180,58,3
"Yerno / nuera (004)",86,,,45,36,5,
"Nieto(a) (005)",274,24,198,48,4,,
"Padres / suegros (006)",88,,,,3,8,77
"Otro(a) pariente (007)",422,7,110,146,61,65,33
"Trabajador(a) del hogar (008)",3,,1,1,,1,
"Pensionistas (009)",3,,,1,2,,
"Otro(a) no pariente (010)",178,1,15,83,52,23,4
"Hombres (011)",3918,55,906,910,826,745,476
"Jefe o Jefa (012)",1896,,1,259,587,636,413
"Esposa(o) / compañera(o) (013)",104,,,29,35,24,16
"Hijo(a) / hijastro(a) (014)",1370,45,739,447,110,26,3
"Yerno / nuera (015)",43,,,20,18,5,
"Nieto(a) (016)",137,7,101,26,3,,
"Padres / suegros (017)",29,,,,2,3,24
"Otro(a) pariente (018)",238,2,56,88,40,36,16
"Trabajador(a) del hogar (019)",2,,1,1,,,
"Pensionistas (020)",2,,,,2,,
"Otro(a) no pariente (021)",97,1,8,40,29,15,4
"Mujeres (022)",3768,56,853,882,720,742,515
"Jefe o Jefa (023)",947,,2,117,228,321,279
"Esposa(o) / compañera(o) (024)",1121,,1,250,358,346,166
"Hijo(a) / hijastro(a) (025)",1194,34,692,366,70,32,
"Yerno / nuera (026)",43,,,25,18,,
"Nieto(a) (027)",137,17,97,22,1,,
"Padres / suegros (028)",59,,,,1,5,53
"Otro(a) pariente (029)",184,5,54,58,21,29,17
"Trabajador(a) del hogar (030)",1,,,,,1,
"Pensionistas (031)",1,,,1,,,
"Otro(a) no pariente (032)",81,,7,43,23,8,
,,,,,,,
"URBANA (033)",5995,87,1371,1411,1212,1147,767
"Jefe o Jefa (034)",2166,,3,280,622,729,532
"Esposa(o) / compañera(o) (035)",957,,1,214,320,280,142
"Hijo(a) / hijastro(a) (036)",1996,59,1095,647,143,50,2
"Yerno / nuera (037)",71,,,33,34,4,
"Nieto(a) (038)",229,21,167,39,2,,
"Padres / suegros (039)",72,,,,3,8,61
"Otro(a) pariente (040)",352,7,91,125,46,56,27
"Trabajador(a) del hogar (041)",3,,1,1,,1,
"Pensionistas (042)",3,,,1,2,,
"Otro(a) no pariente (043)",146,,13,71,40,19,3
"Hombres (044)",3037,41,701,726,635,567,367
"Jefe o Jefa (045)",1436,,1,193,448,479,315
"Esposa(o) / compañera(o) (046)",77,,,24,23,18,12
"Hijo(a) / hijastro(a) (047)",1059,32,558,356,88,23,2
"Yerno / nuera (048)",38,,,17,17,4,
"Nieto(a) (049)",117,7,86,23,1,,
"Padres / suegros (050)",27,,,,2,3,22
"Otro(a) pariente (051)",202,2,48,77,33,29,13
"Trabajador(a) del hogar (052)",2,,1,1,,,
"Pensionistas (053)",2,,,,2,,
"Otro(a) no pariente (054)",77,,7,35,21,11,3
"Mujeres (055)",2958,46,670,685,577,580,400
"Jefe o Jefa (056)",730,,2,87,174,250,217
"Esposa(o) / compañera(o) (057)",880,,1,190,297,262,130
"Hijo(a) / hijastro(a) (058)",937,27,537,291,55,27,
"Yerno / nuera (059)",33,,,16,17,,
"Nieto(a) (060)",112,14,81,16,1,,
"Padres / suegros (061)",45,,,,1,5,39
"Otro(a) pariente (062)",150,5,43,48,13,27,14
"Trabajador(a) del hogar (063)",1,,,,,1,
"Pensionistas (064)",1,,,1,,,
"Otro(a) no pariente (065)",69,,6,36,19,8,
,,,,,,,
"RURAL (066)",1691,24,388,381,334,340,224
"Jefe o Jefa (067)",677,,,96,193,228,160
"Esposa(o) / compañera(o) (068)",268,,,65,73,90,40
"Hijo(a) / hijastro(a) (069)",568,20,336,166,37,8,1
"Yerno / nuera (070)",15,,,12,2,1,
"Nieto(a) (071)",45,3,31,9,2,,
"Padres / suegros (072)",16,,,,,,16
"Otro(a) pariente (073)",70,,19,21,15,9,6
"Otro(a) no pariente (076)",32,1,2,12,12,4,1
"Hombres (077)",881,14,205,184,191,178,109
"Jefe o Jefa (078)",460,,,66,139,157,98
"Esposa(o) / compañera(o) (079)",27,,,5,12,6,4
"Hijo(a) / hijastro(a) (080)",311,13,181,91,22,3,1
"Yerno / nuera (081)",5,,,3,1,1,
"Nieto(a) (082)",20,,15,3,2,,
"Padres / suegros (083)",2,,,,,,2
"Otro(a) pariente (084)",36,,8,11,7,7,3
"Otro(a) no pariente (087)",20,1,1,5,8,4,1
"Mujeres (088)",810,10,183,197,143,162,115
"Jefe o Jefa (089)",217,,,30,54,71,62
"Esposa(o) / compañera(o) (090)",241,,,60,61,84,36
"Hijo(a) / hijastro(a) (091)",257,7,155,75,15,5,
"Yerno / nuera (092)",10,,,9,1,,
"Nieto(a) (093)",25,3,16,6,,,
"Padres / suegros (094)",14,,,,,,14
"Otro(a) pariente (095)",34,,11,10,8,2,3
"Otro(a) no pariente (098)",12,,1,7,4,,
