"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PADRE ABAD (000)",11359,363,5534,2691,732,273,117,28,9,,1612
"Catolica (001)",6632,192,3051,1647,457,157,76,9,5,,1038
"Cristiana / Evangelica (002)",3601,124,1869,800,218,88,36,18,4,,444
"Otra (003)",480,19,245,104,32,16,3,1,,,60
"Ninguna (004)",646,28,369,140,25,12,2,,,,70
,,,,,,,,,,,
"URBANA (006)",6226,166,2823,1500,469,184,84,17,4,,979
"Catolica (007)",3776,94,1614,941,304,109,57,7,3,,647
"Cristiana / Evangelica (008)",1817,47,896,415,121,54,23,9,1,,251
"Otra (009)",281,6,128,62,28,13,3,1,,,40
"Ninguna (010)",352,19,185,82,16,8,1,,,,41
,,,,,,,,,,,
"RURAL (012)",5133,197,2711,1191,263,89,33,11,5,,633
"Catolica (013)",2856,98,1437,706,153,48,19,2,2,,391
"Cristiana / Evangelica (014)",1784,77,973,385,97,34,13,9,3,,193
"Otra (015)",199,13,117,42,4,3,,,,,20
"Ninguna (016)",294,9,184,58,9,4,1,,,,29
