"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SAN MARTIN",,,,,,,,,
"Viviendas particulares (001)",24422,1010,2232,2453,5718,3280,2846,2828,4055
"Ocupantes presentes (002)",106502,4227,9501,10801,24723,13853,12797,12744,17856
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",21969,967,2055,2206,5009,2846,2566,2585,3735
"Ocupantes presentes (005)",98262,4088,8883,9976,22323,12626,11841,11841,16684
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",237,1,5,13,61,55,33,13,56
"Ocupantes presentes (008)",769,3,32,65,216,156,100,35,162
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1721,26,121,193,497,314,185,179,206
"Ocupantes presentes (011)",5649,70,390,620,1627,874,620,632,816
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",342,6,39,31,113,51,45,22,35
"Ocupantes presentes (014)",1232,25,151,108,405,151,169,106,117
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2,,,,1,,,,1
"Ocupantes presentes (017)",13,,,,6,,,,7
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",98,6,6,7,23,4,12,23,17
"Ocupantes presentes (020)",415,27,24,24,102,19,57,98,64
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",53,4,6,3,14,10,5,6,5
"Ocupantes presentes (023)",162,14,21,8,44,27,10,32,6
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",23898,938,2202,2429,5668,3278,2846,2825,3712
"Ocupantes presentes (029)",104264,3905,9377,10706,24522,13846,12797,12735,16376
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",21447,895,2025,2182,4960,2844,2566,2582,3393
"Ocupantes presentes (032)",96037,3766,8759,9881,22128,12619,11841,11832,15211
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",237,1,5,13,61,55,33,13,56
"Ocupantes presentes (035)",769,3,32,65,216,156,100,35,162
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1721,26,121,193,497,314,185,179,206
"Ocupantes presentes (038)",5649,70,390,620,1627,874,620,632,816
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",342,6,39,31,113,51,45,22,35
"Ocupantes presentes (041)",1232,25,151,108,405,151,169,106,117
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",98,6,6,7,23,4,12,23,17
"Ocupantes presentes (047)",415,27,24,24,102,19,57,98,64
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",53,4,6,3,14,10,5,6,5
"Ocupantes presentes (050)",162,14,21,8,44,27,10,32,6
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",524,72,30,24,50,2,,3,343
"Ocupantes presentes (056)",2238,322,124,95,201,7,,9,1480
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",522,72,30,24,49,2,,3,342
"Ocupantes presentes (059)",2225,322,124,95,195,7,,9,1473
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2,,,,1,,,,1
"Ocupantes presentes (071)",13,,,,6,,,,7
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
