"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ATALAYA (000)",39291,15734,3202,725,19704
"Quechua (001)",667,82,56,22,514
"Aymara (002)",65,32,6,1,26
"Asháninka (003)",14529,6411,572,49,7510
"Otra lengua nativa (004)",4689,2249,213,86,2145
"Castellano (005)",19286,6939,2353,559,9485
"Idioma Extranjero (006)",20,3,1,8,8
"Es Sordomudo/a (007)",35,18,1,,16
"Hombres (009)",20630,7768,1732,515,10655
"Quechua (010)",401,44,35,17,309
"Aymara (011)",36,18,4,,14
"Asháninka (012)",7384,3161,282,28,3917
"Otra lengua nativa (013)",2384,1142,120,50,1075
"Castellano (014)",10402,3396,1290,416,5329
"Idioma Extranjero (015)",8,,,4,4
"Es Sordomudo/a (016)",15,7,1,,7
"Mujeres (018)",18661,7966,1470,210,9049
"Quechua (019)",266,38,21,5,205
"Aymara (020)",29,14,2,1,12
"Asháninka (021)",7145,3250,290,21,3593
"Otra lengua nativa (022)",2305,1107,93,36,1070
"Castellano (023)",8884,3543,1063,143,4156
"Idioma Extranjero (024)",12,3,1,4,4
"Es Sordomudo/a (025)",20,11,,,9
,,,,,
"URBANA (027)",14111,3846,2034,549,7728
"Quechua (028)",490,36,42,13,402
"Aymara (029)",20,5,3,,12
"Asháninka (030)",548,160,66,6,316
"Otra lengua nativa (031)",801,231,85,36,451
"Castellano (032)",12224,3407,1836,492,6530
"Idioma Extranjero (033)",10,1,1,2,6
"Es Sordomudo/a (034)",18,6,1,,11
"Hombres (036)",7440,1817,1136,407,4107
"Quechua (037)",291,14,27,10,241
"Aymara (038)",9,3,1,,5
"Asháninka (039)",261,77,42,4,138
"Otra lengua nativa (040)",375,108,50,25,193
"Castellano (041)",6489,1612,1015,366,3521
"Idioma Extranjero (042)",5,,,2,3
"Es Sordomudo/a (043)",10,3,1,,6
"Mujeres (045)",6671,2029,898,142,3621
"Quechua (046)",199,22,15,3,161
"Aymara (047)",11,2,2,,7
"Asháninka (048)",287,83,24,2,178
"Otra lengua nativa (049)",426,123,35,11,258
"Castellano (050)",5735,1795,821,126,3009
"Idioma Extranjero (051)",5,1,1,,3
"Es Sordomudo/a (052)",8,3,,,5
,,,,,
"RURAL (054)",25180,11888,1168,176,11976
"Quechua (055)",177,46,14,9,112
"Aymara (056)",45,27,3,1,14
"Asháninka (057)",13981,6251,506,43,7194
"Otra lengua nativa (058)",3888,2018,128,50,1694
"Castellano (059)",7062,3532,517,67,2955
"Idioma Extranjero (060)",10,2,,6,2
"Es Sordomudo/a (061)",17,12,,,5
"Hombres (063)",13190,5951,596,108,6548
"Quechua (064)",110,30,8,7,68
"Aymara (065)",27,15,3,,9
"Asháninka (066)",7123,3084,240,24,3779
"Otra lengua nativa (067)",2009,1034,70,25,882
"Castellano (068)",3913,1784,275,50,1808
"Idioma Extranjero (069)",3,,,2,1
"Es Sordomudo/a (070)",5,4,,,1
"Mujeres (072)",11990,5937,572,68,5428
"Quechua (073)",67,16,6,2,44
"Aymara (074)",18,12,,1,5
"Asháninka (075)",6858,3167,266,19,3415
"Otra lengua nativa (076)",1879,984,58,25,812
"Castellano (077)",3149,1748,242,17,1147
"Idioma Extranjero (078)",7,2,,4,1
"Es Sordomudo/a (079)",12,8,,,4
