"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAYLLOMA (000)",115,101,14
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",32,28,4
"Casa pensión (003)",4,3,1
"Hospital, clinica (004)",9,8,1
"Cárcel, centro de readaptación social (005)",1,1,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",34,29,5
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",32,29,3
