"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia YAROWILCA (000)",11315,37752,31294,,585,82.9,1.5
"De 12 a 14 años (001)",1488,4,4,,,100,
"De 15 a 19 años (002)",1550,240,236,77,98.3,32.1,
"De 20 a 24 años (003)",1154,1114,1078,123,96.8,11,
"De 25 a 29 años (004)",998,2126,2005,122,94.3,5.7,
"De 30 a 34 años (005)",945,3198,2941,110,92,3.4,
"De 35 a 39 años (006)",904,3916,3546,85,90.6,2.2,
"De 40 a 44 años (007)",833,4735,4189,61,88.5,1.3,
"De 45 a 49 años (008)",718,4651,3909,7,84,0.2,
"De 50 y más años (009)",2725,17768,13386,,75.3,,
"PEA (010)",3178,11612,10007,180,86.2,1.6,
"De 12 a 14 años (011)",126,,,,,,
"De 15 a 19 años (012)",255,84,82,26,97.6,31,
"De 20 a 24 años (013)",366,350,343,33,98,9.4,
"De 25 a 29 años (014)",357,668,638,34,95.5,5.1,
"De 30 a 34 años (015)",326,1002,934,39,93.2,3.9,
"De 35 a 39 años (016)",346,1297,1190,26,91.8,2,
"De 40 a 44 años (017)",300,1572,1404,20,89.3,1.3,
"De 45 a 49 años (018)",244,1425,1260,2,88.4,0.1,
"De 50 y más años (019)",858,5214,4156,,79.7,,
"Ocupada (020)",3113,11532,9927,179,86.1,1.6,
"De 12 a 14 años (021)",124,,,,,,
"De 15 a 19 años (022)",246,84,82,26,97.6,31,
"De 20 a 24 años (023)",343,339,332,33,97.9,9.7,
"De 25 a 29 años (024)",341,654,624,34,95.4,5.2,
"De 30 a 34 años (025)",324,1002,934,39,93.2,3.9,
"De 35 a 39 años (026)",341,1284,1177,25,91.7,1.9,
"De 40 a 44 años (027)",298,1566,1398,20,89.3,1.3,
"De 45 a 49 años (028)",241,1412,1247,2,88.3,0.1,
"De 50 y más años (029)",855,5191,4133,,79.6,,
"Desocupada (030)",65,80,80,1,100,1.3,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",9,,,,,,
"De 20 a 24 años (033)",23,11,11,,100,,
"De 25 a 29 años (034)",16,14,14,,100,,
"De 30 a 34 años (035)",2,,,,,,
"De 35 a 39 años (036)",5,13,13,1,100,7.7,
"De 40 a 44 años (037)",2,6,6,,100,,
"De 45 a 49 años (038)",3,13,13,,100,,
