"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LA CONVENCION (000)",41392,1076,18500,11566,3473,1186,487,145,24,,4935
"Conviviente (001)",21190,578,10086,5965,1634,505,181,34,7,,2200
"Separado(a) (002)",2084,71,978,580,205,65,20,4,,,161
"Casado(a) (003)",11979,263,5316,3619,1163,419,199,74,11,,915
"Viudo(a) (004)",3281,109,1421,936,289,129,66,31,4,,296
"Divorciado(a) (005)",218,10,93,60,22,12,1,,,,20
"Soltero(a) (006)",2640,45,606,406,160,56,20,2,2,,1343
,,,,,,,,,,,
"URBANA (008)",13153,228,5071,3803,1454,501,226,73,11,,1786
"Conviviente (009)",6029,104,2495,1870,636,202,76,18,,,628
"Separado(a) (010)",903,29,401,265,107,32,7,3,,,59
"Casado(a) (011)",3956,55,1502,1192,524,204,101,38,7,,333
"Viudo(a) (012)",884,26,374,239,80,33,28,13,2,,89
"Divorciado(a) (013)",111,3,47,36,15,5,,,,,5
"Soltero(a) (014)",1270,11,252,201,92,25,14,1,2,,672
,,,,,,,,,,,
"RURAL (016)",28239,848,13429,7763,2019,685,261,72,13,,3149
"Conviviente (017)",15161,474,7591,4095,998,303,105,16,7,,1572
"Separado(a) (018)",1181,42,577,315,98,33,13,1,,,102
"Casado(a) (019)",8023,208,3814,2427,639,215,98,36,4,,582
"Viudo(a) (020)",2397,83,1047,697,209,96,38,18,2,,207
"Divorciado(a) (021)",107,7,46,24,7,7,1,,,,15
"Soltero(a) (022)",1370,34,354,205,68,31,6,1,,,671
