"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MOYOBAMBA (000)",107082,5614,28381,22802,18131,13769,8681,5046,4658
"Quechua (001)",120,1,18,19,15,23,16,16,12
"Aymara (002)",61,5,16,11,10,4,7,4,4
"Ashaninca (003)",22,3,2,7,3,3,3,1,
"Otra lengua nativa (004)",1001,77,324,271,135,100,55,22,17
"Castellano (005)",105707,5525,27978,22461,17946,13609,8577,4992,4619
"Idioma extranjero (006)",20,1,2,2,2,4,5,3,1
"Es sordomudo/a (007)",151,2,41,31,20,26,18,8,5
"Hombres (009)",55586,2918,14534,11766,9269,7254,4726,2798,2321
"Quechua (010)",63,1,8,11,7,12,9,9,6
"Aymara (011)",32,1,9,6,6,4,1,2,3
"Ashaninca (012)",10,2,1,4,1,1,,1,
"Otra lengua nativa (013)",524,44,170,136,65,54,33,15,7
"Castellano (014)",54857,2870,14317,11588,9178,7163,4674,2765,2302
"Idioma extranjero (015)",11,,2,2,2,2,1,1,1
"Es sordomudo/a (016)",89,,27,19,10,18,8,5,2
"Mujeres (018)",51496,2696,13847,11036,8862,6515,3955,2248,2337
"Quechua (019)",57,,10,8,8,11,7,7,6
"Aymara (020)",29,4,7,5,4,,6,2,1
"Ashaninca (021)",12,1,1,3,2,2,3,,
"Otra lengua nativa (022)",477,33,154,135,70,46,22,7,10
"Castellano (023)",50850,2655,13661,10873,8768,6446,3903,2227,2317
"Idioma extranjero (024)",9,1,,,,2,4,2,
"Es sordomudo/a (025)",62,2,14,12,10,8,10,3,3
,,,,,,,,,
"URBANA (027)",64233,2847,15505,13308,10968,9005,5816,3427,3357
"Quechua (028)",68,,3,8,11,15,10,12,9
"Aymara (029)",55,4,15,10,9,3,6,4,4
"Ashaninca (030)",14,1,,5,3,3,2,,
"Otra lengua nativa (031)",111,6,22,38,13,9,11,9,3
"Castellano (032)",63907,2835,15447,13230,10924,8964,5774,3395,3338
"Idioma extranjero (033)",18,1,1,2,2,3,5,3,1
"Es sordomudo/a (034)",60,,17,15,6,8,8,4,2
"Hombres (036)",32325,1480,7873,6549,5322,4529,3115,1872,1585
"Quechua (037)",38,,1,6,5,9,6,6,5
"Aymara (038)",29,1,8,6,5,3,1,2,3
"Ashaninca (039)",5,1,,2,1,1,,,
"Otra lengua nativa (040)",53,6,9,15,6,5,5,6,1
"Castellano (041)",32158,1472,7844,6511,5300,4504,3097,1855,1575
"Idioma extranjero (042)",10,,1,2,2,2,1,1,1
"Es sordomudo/a (043)",32,,10,7,3,5,5,2,
"Mujeres (045)",31908,1367,7632,6759,5646,4476,2701,1555,1772
"Quechua (046)",30,,2,2,6,6,4,6,4
"Aymara (047)",26,3,7,4,4,,5,2,1
"Ashaninca (048)",9,,,3,2,2,2,,
"Otra lengua nativa (049)",58,,13,23,7,4,6,3,2
"Castellano (050)",31749,1363,7603,6719,5624,4460,2677,1540,1763
"Idioma extranjero (051)",8,1,,,,1,4,2,
"Es sordomudo/a (052)",28,,7,8,3,3,3,2,2
,,,,,,,,,
"RURAL (054)",42849,2767,12876,9494,7163,4764,2865,1619,1301
"Quechua (055)",52,1,15,11,4,8,6,4,3
"Aymara (056)",6,1,1,1,1,1,1,,
"Ashaninca (057)",8,2,2,2,,,1,1,
"Otra lengua nativa (058)",890,71,302,233,122,91,44,13,14
"Castellano (059)",41800,2690,12531,9231,7022,4645,2803,1597,1281
"Idioma extranjero (060)",2,,1,,,1,,,
"Es sordomudo/a (061)",91,2,24,16,14,18,10,4,3
"Hombres (063)",23261,1438,6661,5217,3947,2725,1611,926,736
"Quechua (064)",25,1,7,5,2,3,3,3,1
"Aymara (065)",3,,1,,1,1,,,
"Ashaninca (066)",5,1,1,2,,,,1,
"Otra lengua nativa (067)",471,38,161,121,59,49,28,9,6
"Castellano (068)",22699,1398,6473,5077,3878,2659,1577,910,727
"Idioma extranjero (069)",1,,1,,,,,,
"Es sordomudo/a (070)",57,,17,12,7,13,3,3,2
"Mujeres (072)",19588,1329,6215,4277,3216,2039,1254,693,565
"Quechua (073)",27,,8,6,2,5,3,1,2
"Aymara (074)",3,1,,1,,,1,,
"Ashaninca (075)",3,1,1,,,,1,,
"Otra lengua nativa (076)",419,33,141,112,63,42,16,4,8
"Castellano (077)",19101,1292,6058,4154,3144,1986,1226,687,554
"Idioma extranjero (078)",1,,,,,1,,,
"Es sordomudo/a (079)",34,2,7,4,7,5,7,1,1
