"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ALTO AMAZONAS (000)",69488,13692,13930,13991,11621,7864,8390
"Católica (001)",52540,10208,10293,10464,8801,6157,6617
"Cristiana/Evangélica (002)",11007,2218,2340,2239,1856,1139,1215
"Otra (003)",3408,712,651,711,550,378,406
"Ninguna (004)",2533,554,646,577,414,190,152
"Hombres (006)",35632,7104,6812,7113,5953,4259,4391
"Católica (007)",27145,5327,5049,5320,4546,3364,3539
"Cristiana/Evangélica (008)",5373,1116,1113,1097,900,574,573
"Otra (009)",1672,371,316,342,253,197,193
"Ninguna (010)",1442,290,334,354,254,124,86
"Mujeres (012)",33856,6588,7118,6878,5668,3605,3999
"Católica (013)",25395,4881,5244,5144,4255,2793,3078
"Cristiana/Evangélica (014)",5634,1102,1227,1142,956,565,642
"Otra (015)",1736,341,335,369,297,181,213
"Ninguna (016)",1091,264,312,223,160,66,66
,,,,,,,
"URBANA (018)",44507,8766,8688,8556,7450,5198,5849
"Católica (019)",34409,6608,6602,6599,5802,4144,4654
"Cristiana/Evangélica (020)",6050,1275,1196,1101,1009,667,802
"Otra (021)",2395,503,445,498,383,268,298
"Ninguna (022)",1653,380,445,358,256,119,95
"Hombres (024)",22126,4420,4200,4164,3659,2744,2939
"Católica (025)",17185,3367,3160,3222,2852,2189,2395
"Cristiana/Evangélica (026)",2836,597,582,495,473,333,356
"Otra (027)",1146,255,214,231,175,139,132
"Ninguna (028)",959,201,244,216,159,83,56
"Mujeres (030)",22381,4346,4488,4392,3791,2454,2910
"Católica (031)",17224,3241,3442,3377,2950,1955,2259
"Cristiana/Evangélica (032)",3214,678,614,606,536,334,446
"Otra (033)",1249,248,231,267,208,129,166
"Ninguna (034)",694,179,201,142,97,36,39
,,,,,,,
"RURAL (036)",24981,4926,5242,5435,4171,2666,2541
"Católica (037)",18131,3600,3691,3865,2999,2013,1963
"Cristiana/Evangélica (038)",4957,943,1144,1138,847,472,413
"Otra (039)",1013,209,206,213,167,110,108
"Ninguna (040)",880,174,201,219,158,71,57
"Hombres (042)",13506,2684,2612,2949,2294,1515,1452
"Católica (043)",9960,1960,1889,2098,1694,1175,1144
"Cristiana/Evangélica (044)",2537,519,531,602,427,241,217
"Otra (045)",526,116,102,111,78,58,61
"Ninguna (046)",483,89,90,138,95,41,30
"Mujeres (048)",11475,2242,2630,2486,1877,1151,1089
"Católica (049)",8171,1640,1802,1767,1305,838,819
"Cristiana/Evangélica (050)",2420,424,613,536,420,231,196
"Otra (051)",487,93,104,102,89,52,47
"Ninguna (052)",397,85,111,81,63,30,27
