"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA",,,,,,,,,
"Viviendas particulares (001)",15253,776,2153,607,2932,2359,3013,400,3013
"Ocupantes presentes (002)",50282,3208,10342,2333,7157,8343,9675,1668,7556
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",11120,744,2073,318,2323,1200,1661,368,2433
"Ocupantes presentes (005)",37374,3116,10024,1509,5673,4593,4713,1606,6140
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",18,8,10,,,,,,
"Ocupantes presentes (008)",59,17,42,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",24,10,14,,,,,,
"Ocupantes presentes (011)",87,25,62,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",344,11,55,3,172,1,2,1,99
"Ocupantes presentes (014)",920,40,213,13,399,4,2,3,246
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2780,,,283,2,1129,1334,22,10
"Ocupantes presentes (017)",9480,,,808,5,3675,4912,35,45
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",590,2,,1,288,11,15,2,271
"Ocupantes presentes (020)",1502,6,,1,740,23,46,3,683
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",20,1,1,1,7,2,1,3,4
"Ocupantes presentes (023)",52,4,1,1,18,5,2,9,12
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",357,,,1,140,16,,4,196
"Ocupantes presentes (026)",808,,,1,322,43,,12,430
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",10003,751,1981,206,2170,762,1029,373,2731
"Ocupantes presentes (029)",33473,3123,9757,1101,5466,2850,2671,1613,6892
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",8680,719,1901,200,1570,741,1011,363,2175
"Ocupantes presentes (032)",30120,3031,9439,1085,4010,2803,2621,1586,5545
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",18,8,10,,,,,,
"Ocupantes presentes (035)",59,17,42,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",24,10,14,,,,,,
"Ocupantes presentes (038)",87,25,62,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",344,11,55,3,172,1,2,1,99
"Ocupantes presentes (041)",920,40,213,13,399,4,2,3,246
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",590,2,,1,288,11,15,2,271
"Ocupantes presentes (047)",1502,6,,1,740,23,46,3,683
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",16,1,1,1,6,,1,3,3
"Ocupantes presentes (050)",42,4,1,1,14,,2,9,11
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",331,,,1,134,9,,4,183
"Ocupantes presentes (053)",743,,,1,303,20,,12,407
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5250,25,172,401,762,1597,1984,27,282
"Ocupantes presentes (056)",16809,85,585,1232,1691,5493,7004,55,664
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2440,25,172,118,753,459,650,5,258
"Ocupantes presentes (059)",7254,85,585,424,1663,1790,2092,20,595
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2780,,,283,2,1129,1334,22,10
"Ocupantes presentes (071)",9480,,,808,5,3675,4912,35,45
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",4,,,,1,2,,,1
"Ocupantes presentes (077)",10,,,,4,5,,,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",26,,,,6,7,,,13
"Ocupantes presentes (080)",65,,,,19,23,,,23
