"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAMANA (000)",14099,199,4741,4613,1947,703,304,63,12,,1517
"Sin Nivel (001)",1511,46,629,454,135,56,32,16,1,,142
"Educación Inicial (002)",24,,11,6,1,1,,,,,5
"Primaria (003)",3664,79,1623,1152,341,117,73,18,3,,258
"Secundaria (004)",4076,48,1564,1421,432,140,77,8,1,,385
"Sup. no Univ. Incompleta (005)",1041,8,299,395,122,37,13,2,1,,164
"Sup. no Univ. Completa (006)",1893,6,313,620,454,158,48,10,1,,283
"Sup. Univ. Incompleta (007)",484,5,102,172,84,23,9,3,,,86
"Sup. Univ. Completa (008)",1406,7,200,393,378,171,52,6,5,,194
,,,,,,,,,,,
"URBANA (010)",12276,162,3996,4018,1761,646,273,58,12,,1350
"Sin Nivel (011)",1237,39,519,372,109,43,24,11,1,,119
"Educación Inicial (012)",20,,8,6,1,1,,,,,4
"Primaria (013)",3110,63,1346,1000,296,99,64,18,3,,221
"Secundaria (014)",3391,37,1277,1167,372,130,69,8,1,,330
"Sup. no Univ. Incompleta (015)",935,7,264,361,110,34,11,2,1,,145
"Sup. no Univ. Completa (016)",1774,5,294,576,427,148,45,10,1,,268
"Sup. Univ. Incompleta (017)",455,5,97,160,80,22,9,3,,,79
"Sup. Univ. Completa (018)",1354,6,191,376,366,169,51,6,5,,184
,,,,,,,,,,,
"RURAL (020)",1823,37,745,595,186,57,31,5,,,167
"Sin Nivel (021)",274,7,110,82,26,13,8,5,,,23
"Educación Inicial (022)",4,,3,,,,,,,,1
"Primaria (023)",554,16,277,152,45,18,9,,,,37
"Secundaria (024)",685,11,287,254,60,10,8,,,,55
"Sup. no Univ. Incompleta (025)",106,1,35,34,12,3,2,,,,19
"Sup. no Univ. Completa (026)",119,1,19,44,27,10,3,,,,15
"Sup. Univ. Incompleta (027)",29,,5,12,4,1,,,,,7
"Sup. Univ. Completa (028)",52,1,9,17,12,2,1,,,,10
