"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",6719,6541,1778,668,644,585,996,761,591,518,178,23959
"De 12 a 14 años (001)",660,658,652,6,,,,,,,2,6
"De 15 a 19 años (002)",777,762,649,96,14,2,1,,,,15,134
"De 20 a 24 años (003)",568,527,178,195,109,33,10,2,,,41,568
"De 25 a 29 años (004)",557,512,56,110,144,99,95,6,2,,45,1150
"De 30 a 34 años (005)",556,541,32,74,119,127,126,52,8,3,15,1673
"De 35 a 39 años (006)",526,510,10,35,68,80,163,109,40,5,16,2222
"De 40 a 44 años (007)",568,553,93,31,48,67,136,85,68,25,15,2331
"De 45 a 49 años (008)",387,382,8,25,34,28,87,80,68,52,5,2238
"De 50 y más años (009)",2120,2096,100,96,108,149,378,427,405,433,24,13637
"PEA (010)",1982,1904,250,269,274,212,344,241,171,143,78,7603
"De 12 a 14 años (011)",29,29,26,3,,,,,,,,3
"De 15 a 19 años (012)",97,94,63,27,3,1,,,,,3,36
"De 20 a 24 años (013)",191,173,64,61,34,9,4,1,,,18,178
"De 25 a 29 años (014)",218,192,37,48,50,30,27,,,,26,354
"De 30 a 34 años (015)",228,221,16,50,56,42,36,18,2,1,7,594
"De 35 a 39 años (016)",223,217,6,23,39,35,70,31,11,2,6,826
"De 40 a 44 años (017)",214,205,5,17,27,36,58,32,22,8,9,910
"De 45 a 49 años (018)",168,164,3,9,23,13,35,37,27,17,4,908
"De 50 y más años (019)",614,609,30,31,42,46,114,122,109,115,5,3794
"Ocupada (020)",1943,1867,229,262,270,210,343,240,170,143,76,7563
"De 12 a 14 años (021)",28,28,25,3,,,,,,,,3
"De 15 a 19 años (022)",85,82,53,26,2,1,,,,,3,33
