"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia BONGARA (000)",12816,1788,3748,3449,3831
"Asiste actualmente (001)",7722,855,3547,2612,708
"No asiste (002)",5094,933,201,837,3123
"Hombres (004)",6660,896,1909,1804,2051
"Asiste actualmente (005)",4029,447,1812,1374,396
"No asiste (006)",2631,449,97,430,1655
"Mujeres (008)",6156,892,1839,1645,1780
"Asiste actualmente (009)",3693,408,1735,1238,312
"No asiste (010)",2463,484,104,407,1468
,,,,,
"URBANA (012)",7345,986,2099,2094,2166
"Asiste actualmente (013)",4742,471,2009,1758,504
"No asiste (014)",2603,515,90,336,1662
"Hombres (016)",3819,485,1053,1116,1165
"Asiste actualmente (017)",2441,236,1005,929,271
"No asiste (018)",1378,249,48,187,894
"Mujeres (020)",3526,501,1046,978,1001
"Asiste actualmente (021)",2301,235,1004,829,233
"No asiste (022)",1225,266,42,149,768
,,,,,
"RURAL (024)",5471,802,1649,1355,1665
"Asiste actualmente (025)",2980,384,1538,854,204
"No asiste (026)",2491,418,111,501,1461
"Hombres (028)",2841,411,856,688,886
"Asiste actualmente (029)",1588,211,807,445,125
"No asiste (030)",1253,200,49,243,761
"Mujeres (032)",2630,391,793,667,779
"Asiste actualmente (033)",1392,173,731,409,79
"No asiste (034)",1238,218,62,258,700
