"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUALLAGA (000)",21095,5045,6250,4954,3414,1432
"Sin nivel (001)",1096,143,153,253,334,213
"Educación inicial (002)",390,370,12,8,,
"Primaria (003)",12465,3880,2875,2653,2017,1040
"Secundaria (004)",5654,652,2741,1430,712,119
"Superior no univ. incompleta (005)",352,,177,111,56,8
"Superior no univ. completa (006)",566,,156,259,120,31
"Superior univ. incompleta (007)",145,,65,45,33,2
"Superior univ. completa (008)",427,,71,195,142,19
"PEA (010)",9555,354,3191,3254,2180,576
"Sin nivel (011)",397,23,62,120,130,62
"Educación inicial (012)",12,3,5,4,,
"Primaria (013)",5347,292,1677,1656,1267,455
"Secundaria (014)",2758,36,1194,978,511,39
"Superior no univ. incompleta (015)",209,,74,86,44,5
"Superior no univ. completa (016)",422,,105,213,98,6
"Superior univ. incompleta (017)",86,,23,34,27,2
"Superior univ. completa (018)",324,,51,163,103,7
"Ocupada (020)",9304,336,3097,3166,2139,566
"Sin nivel (021)",390,22,61,116,129,62
"Educación inicial (022)",12,3,5,4,,
"Primaria (023)",5218,277,1634,1614,1246,447
"Secundaria (024)",2674,34,1154,948,500,38
"Superior no univ. incompleta (025)",202,,72,84,41,5
"Superior no univ. completa (026)",410,,100,208,96,6
"Superior univ. incompleta (027)",85,,22,34,27,2
"Superior univ. completa (028)",313,,49,158,100,6
"Desocupada (030)",251,18,94,88,41,10
"Sin nivel (031)",7,1,1,4,1,
