"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia JULCAN (000)",22678,4303,4091,4075,3763,2414,4032
"Conviviente (001)",7635,97,1288,2220,1894,999,1137
"Separado(a) (002)",578,5,97,144,133,77,122
"Casado(a) (003)",5155,6,252,867,1297,1024,1709
"Viudo(a) (004)",1069,,3,29,82,113,842
"Divorciado(a) (005)",38,,3,2,10,7,16
"Soltero(a) (006)",8203,4195,2448,813,347,194,206
"Hombres (008)",11361,2246,2037,1983,1886,1148,2061
"Conviviente (009)",3763,25,462,1096,1006,496,678
"Separado(a) (010)",103,,5,21,17,17,43
"Casado(a) (011)",2564,2,70,378,640,515,959
"Viudo(a) (012)",334,,,8,28,24,274
"Divorciado(a) (013)",17,,1,,4,5,7
"Soltero(a) (014)",4580,2219,1499,480,191,91,100
"Mujeres (016)",11317,2057,2054,2092,1877,1266,1971
"Conviviente (017)",3872,72,826,1124,888,503,459
"Separado(a) (018)",475,5,92,123,116,60,79
"Casado(a) (019)",2591,4,182,489,657,509,750
"Viudo(a) (020)",735,,3,21,54,89,568
"Divorciado(a) (021)",21,,2,2,6,2,9
"Soltero(a) (022)",3623,1976,949,333,156,103,106
,,,,,,,
"URBANA (024)",3601,662,522,710,639,435,633
"Conviviente (025)",1045,14,146,325,259,144,157
"Separado(a) (026)",138,,16,34,41,20,27
"Casado(a) (027)",968,1,24,168,249,223,303
"Viudo(a) (028)",147,,1,8,12,14,112
"Divorciado(a) (029)",10,,,,5,1,4
"Soltero(a) (030)",1293,647,335,175,73,33,30
"Hombres (032)",1731,355,243,311,319,194,309
"Conviviente (033)",508,4,44,158,146,62,94
"Separado(a) (034)",8,,,1,3,1,3
"Casado(a) (035)",492,1,5,62,132,119,173
"Viudo(a) (036)",32,,,1,2,2,27
"Divorciado(a) (037)",3,,,,1,,2
"Soltero(a) (038)",688,350,194,89,35,10,10
"Mujeres (040)",1870,307,279,399,320,241,324
"Conviviente (041)",537,10,102,167,113,82,63
"Separado(a) (042)",130,,16,33,38,19,24
"Casado(a) (043)",476,,19,106,117,104,130
"Viudo(a) (044)",115,,1,7,10,12,85
"Divorciado(a) (045)",7,,,,4,1,2
"Soltero(a) (046)",605,297,141,86,38,23,20
,,,,,,,
"RURAL (048)",19077,3641,3569,3365,3124,1979,3399
"Conviviente (049)",6590,83,1142,1895,1635,855,980
"Separado(a) (050)",440,5,81,110,92,57,95
"Casado(a) (051)",4187,5,228,699,1048,801,1406
"Viudo(a) (052)",922,,2,21,70,99,730
"Divorciado(a) (053)",28,,3,2,5,6,12
"Soltero(a) (054)",6910,3548,2113,638,274,161,176
"Hombres (056)",9630,1891,1794,1672,1567,954,1752
"Conviviente (057)",3255,21,418,938,860,434,584
"Separado(a) (058)",95,,5,20,14,16,40
"Casado(a) (059)",2072,1,65,316,508,396,786
"Viudo(a) (060)",302,,,7,26,22,247
"Divorciado(a) (061)",14,,1,,3,5,5
"Soltero(a) (062)",3892,1869,1305,391,156,81,90
"Mujeres (064)",9447,1750,1775,1693,1557,1025,1647
"Conviviente (065)",3335,62,724,957,775,421,396
"Separado(a) (066)",345,5,76,90,78,41,55
"Casado(a) (067)",2115,4,163,383,540,405,620
"Viudo(a) (068)",620,,2,14,44,77,483
"Divorciado(a) (069)",14,,2,2,2,1,7
"Soltero(a) (070)",3018,1679,808,247,118,80,86
