"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia HUANUCO",,,,,,,,
"Hogares (001)",63827,45131,29432,14746,2770,13794,8003,12343
"Ocupantes presentes (002)",267068,194378,124665,63910,11736,60882,34830,47175
"Casa independiente",,,,,,,,
"Hogares (004)",57255,40646,25988,12887,2346,12208,6770,11181
"Ocupantes presentes (005)",243473,177854,112828,57139,10079,54774,30538,43072
"Departamento en edificio",,,,,,,,
"Hogares (007)",1915,1423,1642,1020,307,990,802,74
"Ocupantes presentes (008)",6038,4599,5426,3556,1152,3656,2739,189
"Vivienda en quinta",,,,,,,,
"Hogares (010)",1036,769,799,413,75,313,233,81
"Ocupantes presentes (011)",3558,2697,2886,1574,337,1291,900,231
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",1333,888,922,374,42,269,181,148
"Ocupantes presentes (014)",4411,3045,3215,1405,168,1078,597,382
"Choza o cabaña",,,,,,,,
"Hogares (016)",2203,1363,44,39,,6,2,830
"Ocupantes presentes (017)",9346,6060,178,181,,39,10,3233
"Vivienda improvisada",,,,,,,,
"Hogares (019)",20,8,7,2,,1,1,11
"Ocupantes presentes (020)",47,26,25,10,,7,1,18
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",62,33,30,11,,7,14,16
"Ocupantes presentes (023)",187,94,107,45,,37,45,45
"Otro tipo",,,,,,,,
"Hogares (025)",3,1,,,,,,2
"Ocupantes presentes (026)",8,3,,,,,,5
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",39397,29388,27195,13834,2755,13364,7905,4248
"Ocupantes presentes (029)",161416,123579,114955,59747,11678,58996,34396,14827
"Casa independiente",,,,,,,,
"Hogares (031)",35035,26270,23795,12015,2331,11784,6675,3918
"Ocupantes presentes (032)",147181,113124,103296,53158,10021,52927,30115,13961
"Departamento en edificio",,,,,,,,
"Hogares (034)",1915,1423,1642,1020,307,990,802,74
"Ocupantes presentes (035)",6038,4599,5426,3556,1152,3656,2739,189
"Vivienda en quinta",,,,,,,,
"Hogares (037)",1036,769,799,413,75,313,233,81
"Ocupantes presentes (038)",3558,2697,2886,1574,337,1291,900,231
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",1333,888,922,374,42,269,181,148
"Ocupantes presentes (041)",4411,3045,3215,1405,168,1078,597,382
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",20,8,7,2,,1,1,11
"Ocupantes presentes (047)",47,26,25,10,,7,1,18
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",56,30,30,10,,7,13,14
"Ocupantes presentes (050)",176,88,107,44,,37,44,41
"Otro tipo",,,,,,,,
"Hogares (052)",2,,,,,,,2
"Ocupantes presentes (053)",5,,,,,,,5
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",24430,15743,2237,912,15,430,98,8095
"Ocupantes presentes (056)",105652,70799,9710,4163,58,1886,434,32348
"Casa independiente",,,,,,,,
"Hogares (058)",22220,14376,2193,872,15,424,95,7263
"Ocupantes presentes (059)",96292,64730,9532,3981,58,1847,423,29111
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",2203,1363,44,39,,6,2,830
"Ocupantes presentes (071)",9346,6060,178,181,,39,10,3233
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",6,3,,1,,,1,2
"Ocupantes presentes (077)",11,6,,1,,,1,4
"Otro tipo",,,,,,,,
"Hogares (079)",1,1,,,,,,
"Ocupantes presentes (080)",3,3,,,,,,
