"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SAN ROMAN (000)",114705,14218,30852,27935,41700
"Asiste actualmente (001)",81626,4655,29585,26394,20992
"No asiste (002)",33079,9563,1267,1541,20708
"Hombres (004)",57517,7129,15711,14131,20546
"Asiste actualmente (005)",41863,2284,15087,13423,11069
"No asiste (006)",15654,4845,624,708,9477
"Mujeres (008)",57188,7089,15141,13804,21154
"Asiste actualmente (009)",39763,2371,14498,12971,9923
"No asiste (010)",17425,4718,643,833,11231
,,,,,
"URBANA (012)",105671,12954,28119,25636,38962
"Asiste actualmente (013)",75771,4358,26973,24311,20129
"No asiste (014)",29900,8596,1146,1325,18833
"Hombres (016)",53005,6491,14291,12991,19232
"Asiste actualmente (017)",38826,2131,13723,12367,10605
"No asiste (018)",14179,4360,568,624,8627
"Mujeres (020)",52666,6463,13828,12645,19730
"Asiste actualmente (021)",36945,2227,13250,11944,9524
"No asiste (022)",15721,4236,578,701,10206
,,,,,
"RURAL (024)",9034,1264,2733,2299,2738
"Asiste actualmente (025)",5855,297,2612,2083,863
"No asiste (026)",3179,967,121,216,1875
"Hombres (028)",4512,638,1420,1140,1314
"Asiste actualmente (029)",3037,153,1364,1056,464
"No asiste (030)",1475,485,56,84,850
"Mujeres (032)",4522,626,1313,1159,1424
"Asiste actualmente (033)",2818,144,1248,1027,399
"No asiste (034)",1704,482,65,132,1025
