"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia GENERAL SANCHEZ CERRO (000)",17590,17283,307
"Hombres (001)",9499,9380,119
"Mujeres (002)",8091,7903,188
"De 18 a 29 años (003)",5449,5324,125
"Hombres (004)",2965,2900,65
"Mujeres (005)",2484,2424,60
"De 30 a 44 años (006)",5181,5154,27
"Hombres (007)",2872,2860,12
"Mujeres (008)",2309,2294,15
"De 45 a 64 años (009)",4190,4162,28
"Hombres (010)",2216,2207,9
"Mujeres (011)",1974,1955,19
"De 65 y más años (012)",2770,2643,127
"Hombres (013)",1446,1413,33
"Mujeres (014)",1324,1230,94
,,,
"URBANA (015)",7654,7549,105
"Hombres (016)",3959,3912,47
"Mujeres (017)",3695,3637,58
"De 18 a 29 años (018)",2545,2487,58
"Hombres (019)",1297,1266,31
"Mujeres (020)",1248,1221,27
"De 30 a 44 años (021)",2264,2255,9
"Hombres (022)",1197,1194,3
"Mujeres (023)",1067,1061,6
"De 45 a 64 años (024)",1728,1721,7
"Hombres (025)",897,895,2
"Mujeres (026)",831,826,5
"De 65 y más años (027)",1117,1086,31
"Hombres (028)",568,557,11
"Mujeres (029)",549,529,20
,,,
"RURAL (030)",9936,9734,202
"Hombres (031)",5540,5468,72
"Mujeres (032)",4396,4266,130
"De 18 a 29 años (033)",2904,2837,67
"Hombres (034)",1668,1634,34
"Mujeres (035)",1236,1203,33
"De 30 a 44 años (036)",2917,2899,18
"Hombres (037)",1675,1666,9
"Mujeres (038)",1242,1233,9
"De 45 a 64 años (039)",2462,2441,21
"Hombres (040)",1319,1312,7
"Mujeres (041)",1143,1129,14
"De 65 y más años (042)",1653,1557,96
"Hombres (043)",878,856,22
"Mujeres (044)",775,701,74
