"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUALLAGA (000)",245,68,177
"Sin nivel (001)",6,1,5
"Primaria (003)",124,36,88
"Secundaria (004)",84,20,64
"Superior no univ. incompleta (005)",7,1,6
"Superior no univ. completa (006)",12,6,6
"Superior univ. incompleta (007)",1,1,
"Superior univ. completa (008)",11,3,8
"De 14 a 29 años (010)",106,49,57
"Sin nivel (011)",1,1,
"Primaria (013)",53,28,25
"Secundaria (014)",42,13,29
"Superior no univ. incompleta (015)",2,1,1
"Superior no univ. completa (016)",5,4,1
"Superior univ. incompleta (017)",1,1,
"Superior univ. completa (018)",2,1,1
"De 30 a 44 años (020)",88,16,72
"Sin nivel (021)",4,,4
"Primaria (023)",42,6,36
"Secundaria (024)",30,7,23
"Superior no univ. incompleta (025)",2,,2
"Superior no univ. completa (026)",5,2,3
"Superior univ. completa (028)",5,1,4
"De 45 a 64 años (030)",41,3,38
"Sin nivel (031)",1,,1
"Primaria (033)",21,2,19
"Secundaria (034)",11,,11
"Superior no univ. incompleta (035)",3,,3
"Superior no univ. completa (036)",2,,2
"Superior univ. completa (038)",3,1,2
"De 65 y más años (040)",10,,10
"Primaria (043)",8,,8
"Secundaria (044)",1,,1
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",178,35,143
"Sin nivel (051)",4,,4
"Primaria (053)",76,15,61
"Secundaria (054)",69,11,58
"Superior no univ. incompleta (055)",6,,6
"Superior no univ. completa (056)",11,5,6
"Superior univ. incompleta (057)",1,1,
"Superior univ. completa (058)",11,3,8
"De 14 a 29 años (060)",64,21,43
"Primaria (063)",22,9,13
"Secundaria (064)",34,7,27
"Superior no univ. incompleta (065)",1,,1
"Superior no univ. completa (066)",4,3,1
"Superior univ. incompleta (067)",1,1,
"Superior univ. completa (068)",2,1,1
"De 30 a 44 años (070)",70,11,59
"Sin nivel (071)",3,,3
"Primaria (073)",30,4,26
"Secundaria (074)",25,4,21
"Superior no univ. incompleta (075)",2,,2
"Superior no univ. completa (076)",5,2,3
"Superior univ. completa (078)",5,1,4
"De 45 a 64 años (080)",34,3,31
"Sin nivel (081)",1,,1
"Primaria (083)",16,2,14
"Secundaria (084)",9,,9
"Superior no univ. incompleta (085)",3,,3
"Superior no univ. completa (086)",2,,2
"Superior univ. completa (088)",3,1,2
"De 65 y más años (090)",10,,10
"Primaria (093)",8,,8
"Secundaria (094)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",67,33,34
"Sin nivel (101)",2,1,1
"Primaria (103)",48,21,27
"Secundaria (104)",15,9,6
"Superior no univ. incompleta (105)",1,1,
"Superior no univ. completa (106)",1,1,
"De 14 a 29 años (110)",42,28,14
"Sin nivel (111)",1,1,
"Primaria (113)",31,19,12
"Secundaria (114)",8,6,2
"Superior no univ. incompleta (115)",1,1,
"Superior no univ. completa (116)",1,1,
"De 30 a 44 años (120)",18,5,13
"Sin nivel (121)",1,,1
"Primaria (123)",12,2,10
"Secundaria (124)",5,3,2
"De 45 a 64 años (130)",7,,7
"Primaria (133)",5,,5
"Secundaria (134)",2,,2
