"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia BOLIVAR (000)",122,38,84
"Sin nivel (001)",13,5,8
"Primaria (003)",51,12,39
"Secundaria (004)",38,14,24
"Superior no univ. incompleta (005)",5,2,3
"Superior no univ. completa (006)",12,4,8
"Superior univ. incompleta (007)",2,,2
"Superior univ. completa (008)",1,1,
"Hombres (010)",100,27,73
"Sin nivel (011)",10,4,6
"Primaria (013)",45,9,36
"Secundaria (014)",32,11,21
"Superior no univ. incompleta (015)",3,1,2
"Superior no univ. completa (016)",7,1,6
"Superior univ. incompleta (017)",2,,2
"Superior univ. completa (018)",1,1,
"Mujeres (020)",22,11,11
"Sin nivel (021)",3,1,2
"Primaria (023)",6,3,3
"Secundaria (024)",6,3,3
"Superior no univ. incompleta (025)",2,1,1
"Superior no univ. completa (026)",5,3,2
,,,
"AREA URBANA (030)",68,18,50
"Sin nivel (031)",2,1,1
"Primaria (033)",21,3,18
"Secundaria (034)",28,8,20
"Superior no univ. incompleta (035)",4,2,2
"Superior no univ. completa (036)",10,3,7
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",1,1,
"Hombres (040)",53,11,42
"Sin nivel (041)",1,,1
"Primaria (043)",17,2,15
"Secundaria (044)",24,6,18
"Superior no univ. incompleta (045)",2,1,1
"Superior no univ. completa (046)",6,1,5
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",1,1,
"Mujeres (050)",15,7,8
"Sin nivel (051)",1,1,
"Primaria (053)",4,1,3
"Secundaria (054)",4,2,2
"Superior no univ. incompleta (055)",2,1,1
"Superior no univ. completa (056)",4,2,2
,,,
"AREA RURAL (060)",54,20,34
"Sin nivel (061)",11,4,7
"Primaria (063)",30,9,21
"Secundaria (064)",10,6,4
"Superior no univ. incompleta (065)",1,,1
"Superior no univ. completa (066)",2,1,1
"Hombres (070)",47,16,31
"Sin nivel (071)",9,4,5
"Primaria (073)",28,7,21
"Secundaria (074)",8,5,3
"Superior no univ. incompleta (075)",1,,1
"Superior no univ. completa (076)",1,,1
"Mujeres (080)",7,4,3
"Sin nivel (081)",2,,2
"Primaria (083)",2,2,
"Secundaria (084)",2,1,1
"Superior no univ. completa (086)",1,1,
