"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia CAYLLOMA",,,
"Viviendas particulares (001)",8930,8265,665
"Ocupantes presentes (002)",33086,30492,2594
"Casa independiente",,,
"Viviendas particulares (004)",8057,7475,582
"Ocupantes presentes (005)",29702,27442,2260
"Departamento en edificio",,,
"Viviendas particulares (007)",92,88,4
"Ocupantes presentes (008)",274,260,14
"Vivienda en quinta",,,
"Viviendas particulares (010)",133,117,16
"Ocupantes presentes (011)",614,506,108
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",524,482,42
"Ocupantes presentes (014)",2064,1924,140
"Choza o cabaña",,,
"Viviendas particulares (016)",28,26,2
"Ocupantes presentes (017)",104,97,7
"Vivienda improvisada",,,
"Viviendas particulares (019)",79,62,17
"Ocupantes presentes (020)",254,204,50
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",17,15,2
"Ocupantes presentes (023)",74,59,15
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",8431,7786,645
"Ocupantes presentes (029)",31506,28975,2531
"Casa independiente",,,
"Viviendas particulares (031)",7587,7023,564
"Ocupantes presentes (032)",28229,26025,2204
"Departamento en edificio",,,
"Viviendas particulares (034)",92,88,4
"Ocupantes presentes (035)",274,260,14
"Vivienda en quinta",,,
"Viviendas particulares (037)",133,117,16
"Ocupantes presentes (038)",614,506,108
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",524,482,42
"Ocupantes presentes (041)",2064,1924,140
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",79,62,17
"Ocupantes presentes (047)",254,204,50
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",16,14,2
"Ocupantes presentes (050)",71,56,15
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",499,479,20
"Ocupantes presentes (056)",1580,1517,63
"Casa independiente",,,
"Viviendas particulares (058)",470,452,18
"Ocupantes presentes (059)",1473,1417,56
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",28,26,2
"Ocupantes presentes (071)",104,97,7
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,1,
"Ocupantes presentes (077)",3,3,
"Otro tipo",,,
