"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHICLAYO (000)",308939,663403,615545,,11052,92.8,1.7
"De 12 a 14 años (001)",23808,95,87,,8,91.6,8.4
"De 15 a 19 años (002)",39891,3937,3845,1073,97.7,27.3,
"De 20 a 24 años (003)",35937,19777,19486,2706,98.5,13.7,
"De 25 a 29 años (004)",32229,37306,36609,2763,98.1,7.4,
"De 30 a 34 años (005)",30601,55057,53793,2403,97.7,4.4,
"De 35 a 39 años (006)",28907,67558,65752,1474,97.3,2.2,
"De 40 a 44 años (007)",25630,72179,69498,556,96.3,0.8,
"De 45 a 49 años (008)",22013,70735,67262,69,95.1,0.1,
"De 50 y más años (009)",69923,336759,299213,,88.9,,
"PEA (010)",101018,185558,176047,2476,94.9,1.3,
"De 12 a 14 años (011)",773,15,15,1,100,6.7,
"De 15 a 19 años (012)",7359,677,656,115,96.9,17,
"De 20 a 24 años (013)",13403,5011,4925,406,98.3,8.1,
"De 25 a 29 años (014)",14568,11761,11560,627,98.3,5.3,
"De 30 a 34 años (015)",13739,19955,19505,655,97.7,3.3,
"De 35 a 39 años (016)",13376,27373,26642,469,97.3,1.7,
"De 40 a 44 años (017)",11895,30137,29006,184,96.2,0.6,
"De 45 a 49 años (018)",9566,27555,26220,19,95.2,0.1,
"De 50 y más años (019)",16339,63074,57518,,91.2,,
"Ocupada (020)",95817,180877,171556,2347,94.8,1.3,
"De 12 a 14 años (021)",712,15,15,1,100,6.7,
"De 15 a 19 años (022)",6495,608,588,97,96.7,16,
"De 20 a 24 años (023)",12037,4661,4581,370,98.3,7.9,
"De 25 a 29 años (024)",13557,11166,10976,587,98.3,5.3,
"De 30 a 34 años (025)",13099,19265,18827,639,97.7,3.3,
"De 35 a 39 años (026)",12941,26660,25939,455,97.3,1.7,
"De 40 a 44 años (027)",11577,29427,28329,180,96.3,0.6,
"De 45 a 49 años (028)",9350,27027,25716,18,95.1,0.1,
"De 50 y más años (029)",16049,62048,56585,,91.2,,
"Desocupada (030)",5201,4681,4491,129,95.9,2.8,
"De 12 a 14 años (031)",61,,,,,,
"De 15 a 19 años (032)",864,69,68,18,98.6,26.1,
"De 20 a 24 años (033)",1366,350,344,36,98.3,10.3,
"De 25 a 29 años (034)",1011,595,584,40,98.2,6.7,
