"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia JAEN (000)",171790,56417,16116,4087,95396
"Quechua (001)",1126,305,56,18,752
"Aymara (002)",40,12,6,9,20
"Asháninka (003)",17,9,3,7,3
"Otra lengua nativa (004)",191,24,31,5,131
"Castellano (005)",169909,55950,16010,4043,94115
"Idioma Extranjero (006)",10,,1,3,6
"Es Sordomudo/a (007)",497,117,9,2,369
"Hombres (009)",88020,26898,8017,2178,51053
"Quechua (010)",566,129,42,15,384
"Aymara (011)",12,1,2,3,8
"Asháninka (012)",7,3,1,3,3
"Otra lengua nativa (013)",96,7,22,3,64
"Castellano (014)",87080,26704,7946,2150,50397
"Idioma Extranjero (015)",7,,,2,5
"Es Sordomudo/a (016)",252,54,4,2,192
"Mujeres (018)",83770,29519,8099,1909,44343
"Quechua (019)",560,176,14,3,368
"Aymara (020)",28,11,4,6,12
"Asháninka (021)",10,6,2,4,
"Otra lengua nativa (022)",95,17,9,2,67
"Castellano (023)",82829,29246,8064,1893,43718
"Idioma Extranjero (024)",3,,1,1,1
"Es Sordomudo/a (025)",245,63,5,,177
,,,,,
"URBANA (027)",86543,18762,14166,3308,50479
"Quechua (028)",340,56,36,13,238
"Aymara (029)",28,5,4,6,17
"Asháninka (030)",14,6,3,5,3
"Otra lengua nativa (031)",165,14,30,5,116
"Castellano (032)",85863,18652,14085,3275,50013
"Idioma Extranjero (033)",9,,1,2,6
"Es Sordomudo/a (034)",124,29,7,2,86
"Hombres (036)",42961,8684,6946,1765,25660
"Quechua (037)",174,21,23,10,122
"Aymara (038)",9,1,1,2,6
"Asháninka (039)",5,1,1,1,3
"Otra lengua nativa (040)",81,4,21,3,53
"Castellano (041)",42626,8645,6896,1746,25429
"Idioma Extranjero (042)",6,,,1,5
"Es Sordomudo/a (043)",60,12,4,2,42
"Mujeres (045)",43582,10078,7220,1543,24819
"Quechua (046)",166,35,13,3,116
"Aymara (047)",19,4,3,4,11
"Asháninka (048)",9,5,2,4,
"Otra lengua nativa (049)",84,10,9,2,63
"Castellano (050)",43237,10007,7189,1529,24584
"Idioma Extranjero (051)",3,,1,1,1
"Es Sordomudo/a (052)",64,17,3,,44
,,,,,
"RURAL (054)",85247,37655,1950,779,44917
"Quechua (055)",786,249,20,5,514
"Aymara (056)",12,7,2,3,3
"Asháninka (057)",3,3,,2,
"Otra lengua nativa (058)",26,10,1,,15
"Castellano (059)",84046,37298,1925,768,44102
"Idioma Extranjero (060)",1,,,1,
"Es Sordomudo/a (061)",373,88,2,,283
"Hombres (063)",45059,18214,1071,413,25393
"Quechua (064)",392,108,19,5,262
"Aymara (065)",3,,1,1,2
"Asháninka (066)",2,2,,2,
"Otra lengua nativa (067)",15,3,1,,11
"Castellano (068)",44454,18059,1050,404,24968
"Idioma Extranjero (069)",1,,,1,
"Es Sordomudo/a (070)",192,42,,,150
"Mujeres (072)",40188,19441,879,366,19524
"Quechua (073)",394,141,1,,252
"Aymara (074)",9,7,1,2,1
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",11,7,,,4
"Castellano (077)",39592,19239,875,364,19134
"Es Sordomudo/a (079)",181,46,2,,133
