"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia SAN MIGUEL",,,,,,,,,
"Hogares (001)",14847,219,78,49,41,35,17,12,14396
"Ocupantes presentes (002)",55940,680,268,160,152,137,82,65,54396
"Casa independiente",,,,,,,,,
"Hogares (004)",14468,214,76,49,41,34,17,11,14026
"Ocupantes presentes (005)",54536,667,262,160,152,132,82,61,53020
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",10,,,,,1,,,9
"Ocupantes presentes (011)",33,,,,,5,,,28
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",7,,,,,,,,7
"Ocupantes presentes (014)",21,,,,,,,,21
"Choza o cabaña",,,,,,,,,
"Hogares (016)",349,3,2,,,,,1,343
"Ocupantes presentes (017)",1311,9,6,,,,,4,1292
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",5,,,,,,,,5
"Ocupantes presentes (020)",18,,,,,,,,18
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",7,2,,,,,,,5
"Ocupantes presentes (023)",20,4,,,,,,,16
"Otro tipo",,,,,,,,,
"Hogares (025)",1,,,,,,,,1
"Ocupantes presentes (026)",1,,,,,,,,1
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2628,76,28,23,19,14,6,7,2455
"Ocupantes presentes (029)",8930,236,96,72,76,51,31,40,8328
"Casa independiente",,,,,,,,,
"Hogares (031)",2605,75,28,23,19,13,6,7,2434
"Ocupantes presentes (032)",8857,235,96,72,76,46,31,40,8261
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",10,,,,,1,,,9
"Ocupantes presentes (038)",33,,,,,5,,,28
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",7,,,,,,,,7
"Ocupantes presentes (041)",21,,,,,,,,21
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",5,,,,,,,,5
"Ocupantes presentes (047)",18,,,,,,,,18
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",1,1,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",12219,143,50,26,22,21,11,5,11941
"Ocupantes presentes (056)",47010,444,172,88,76,86,51,25,46068
"Casa independiente",,,,,,,,,
"Hogares (058)",11863,139,48,26,22,21,11,4,11592
"Ocupantes presentes (059)",45679,432,166,88,76,86,51,21,44759
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",349,3,2,,,,,1,343
"Ocupantes presentes (071)",1311,9,6,,,,,4,1292
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",6,1,,,,,,,5
"Ocupantes presentes (077)",19,3,,,,,,,16
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,,1
