"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHICLAYO (000)",757452,13003,203345,208139,158368,123759,50838
"Hombres (001)",365468,6627,102868,100082,73230,58069,24592
"Mujeres (002)",391984,6376,100477,108057,85138,65690,26246
"Viviendas particulares (003)",750284,12903,202816,205250,156268,122606,50441
"Hombres (004)",360358,6580,102607,97941,71599,57268,24363
"Mujeres (005)",389926,6323,100209,107309,84669,65338,26078
"Viviendas colectivas (006)",6493,96,495,2660,1873,1006,363
"Hombres (007)",4615,46,246,1989,1451,681,202
"Mujeres (008)",1878,50,249,671,422,325,161
"Otro tipo (009)",675,4,34,229,227,147,34
"Hombres (010)",495,1,15,152,180,120,27
"Mujeres (011)",180,3,19,77,47,27,7
,,,,,,,
"URBANA (012)",708279,12139,188484,195079,148557,116548,47472
"Hombres (013)",340307,6162,95219,93346,68438,54374,22768
"Mujeres (014)",367972,5977,93265,101733,80119,62174,24704
"Viviendas particulares (015)",701171,12041,187981,192203,146472,115398,47076
"Hombres (016)",335229,6117,94967,91215,66815,53576,22539
"Mujeres (017)",365942,5924,93014,100988,79657,61822,24537
"Viviendas colectivas (018)",6436,94,469,2647,1859,1004,363
"Hombres (019)",4585,44,237,1979,1444,679,202
"Mujeres (020)",1851,50,232,668,415,325,161
"Otro tipo (021)",672,4,34,229,226,146,33
"Hombres (022)",493,1,15,152,179,119,27
"Mujeres (023)",179,3,19,77,47,27,6
,,,,,,,
"RURAL (024)",49173,864,14861,13060,9811,7211,3366
"Hombres (025)",25161,465,7649,6736,4792,3695,1824
"Mujeres (026)",24012,399,7212,6324,5019,3516,1542
"Viviendas particulares (027)",49113,862,14835,13047,9796,7208,3365
"Hombres (028)",25129,463,7640,6726,4784,3692,1824
"Mujeres (029)",23984,399,7195,6321,5012,3516,1541
"Viviendas colectivas (030)",57,2,26,13,14,2,
"Hombres (031)",30,2,9,10,7,2,
"Mujeres (032)",27,,17,3,7,,
"Otro tipo (033)",3,,,,1,1,1
"Hombres (034)",2,,,,1,1,
"Mujeres (035)",1,,,,,,1
