"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia OYON (000)",8827,1322,2689,2238,2578
"Asiste actualmente (001)",6069,691,2565,2075,738
"No asiste (002)",2758,631,124,163,1840
"Hombres (004)",4490,660,1351,1158,1321
"Asiste actualmente (005)",3125,344,1290,1080,411
"No asiste (006)",1365,316,61,78,910
"Mujeres (008)",4337,662,1338,1080,1257
"Asiste actualmente (009)",2944,347,1275,995,327
"No asiste (010)",1393,315,63,85,930
,,,,,
"URBANA (012)",5993,918,1889,1552,1634
"Asiste actualmente (013)",4271,481,1806,1466,518
"No asiste (014)",1722,437,83,86,1116
"Hombres (016)",2936,464,948,771,753
"Asiste actualmente (017)",2153,250,905,732,266
"No asiste (018)",783,214,43,39,487
"Mujeres (020)",3057,454,941,781,881
"Asiste actualmente (021)",2118,231,901,734,252
"No asiste (022)",939,223,40,47,629
,,,,,
"RURAL (024)",2834,404,800,686,944
"Asiste actualmente (025)",1798,210,759,609,220
"No asiste (026)",1036,194,41,77,724
"Hombres (028)",1554,196,403,387,568
"Asiste actualmente (029)",972,94,385,348,145
"No asiste (030)",582,102,18,39,423
"Mujeres (032)",1280,208,397,299,376
"Asiste actualmente (033)",826,116,374,261,75
"No asiste (034)",454,92,23,38,301
