"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ACOBAMBA (000)",59747,12353,2024,27407,14960,773,679,695,856
"Quechua (001)",51338,11270,1582,24618,12321,510,364,321,352
"Aymara (002)",49,16,3,17,8,,1,1,3
"Ashaninca (003)",11,2,,6,3,,,,
"Otra lengua nativa (004)",10,5,,3,1,,,,1
"Castellano (005)",8261,991,439,2759,2623,263,314,373,499
"Es sordomudo/a (007)",78,69,,4,4,,,,1
"Hombres (009)",29333,4091,1002,13392,9043,471,389,434,511
"Quechua (010)",25077,3559,794,12033,7658,344,248,211,230
"Aymara (011)",21,5,1,6,4,,1,1,3
"Ashaninca (012)",6,1,,3,2,,,,
"Otra lengua nativa (013)",6,4,,1,,,,,1
"Castellano (014)",4184,487,207,1346,1379,127,140,222,276
"Es sordomudo/a (016)",39,35,,3,,,,,1
"Mujeres (018)",30414,8262,1022,14015,5917,302,290,261,345
"Quechua (019)",26261,7711,788,12585,4663,166,116,110,122
"Aymara (020)",28,11,2,11,4,,,,
"Ashaninca (021)",5,1,,3,1,,,,
"Otra lengua nativa (022)",4,1,,2,1,,,,
"Castellano (023)",4077,504,232,1413,1244,136,174,151,223
"Es sordomudo/a (025)",39,34,,1,4,,,,
,,,,,,,,,
"URBANA (027)",18232,2703,587,7191,5592,473,487,514,685
"Quechua (028)",11521,1971,249,5033,3418,241,206,172,231
"Aymara (029)",24,6,1,6,6,,1,1,3
"Ashaninca (030)",2,,,1,1,,,,
"Otra lengua nativa (031)",1,,,,,,,,1
"Castellano (032)",6673,717,337,2150,2167,232,280,341,449
"Es sordomudo/a (034)",11,9,,1,,,,,1
"Hombres (036)",8902,892,283,3390,3112,260,255,308,402
"Quechua (037)",5528,533,124,2350,1986,150,130,104,151
"Aymara (038)",12,2,,3,2,,1,1,3
"Ashaninca (039)",2,,,1,1,,,,
"Otra lengua nativa (040)",1,,,,,,,,1
"Castellano (041)",3355,355,159,1035,1123,110,124,203,246
"Es sordomudo/a (043)",4,2,,1,,,,,1
"Mujeres (045)",9330,1811,304,3801,2480,213,232,206,283
"Quechua (046)",5993,1438,125,2683,1432,91,76,68,80
"Aymara (047)",12,4,1,3,4,,,,
"Castellano (050)",3318,362,178,1115,1044,122,156,138,203
"Es sordomudo/a (052)",7,7,,,,,,,
,,,,,,,,,
"RURAL (054)",41515,9650,1437,20216,9368,300,192,181,171
"Quechua (055)",39817,9299,1333,19585,8903,269,158,149,121
"Aymara (056)",25,10,2,11,2,,,,
"Ashaninca (057)",9,2,,5,2,,,,
"Otra lengua nativa (058)",9,5,,3,1,,,,
"Castellano (059)",1588,274,102,609,456,31,34,32,50
"Es sordomudo/a (061)",67,60,,3,4,,,,
"Hombres (063)",20431,3199,719,10002,5931,211,134,126,109
"Quechua (064)",19549,3026,670,9683,5672,194,118,107,79
"Aymara (065)",9,3,1,3,2,,,,
"Ashaninca (066)",4,1,,2,1,,,,
"Otra lengua nativa (067)",5,4,,1,,,,,
"Castellano (068)",829,132,48,311,256,17,16,19,30
"Es sordomudo/a (070)",35,33,,2,,,,,
"Mujeres (072)",21084,6451,718,10214,3437,89,58,55,62
"Quechua (073)",20268,6273,663,9902,3231,75,40,42,42
"Aymara (074)",16,7,1,8,,,,,
"Ashaninca (075)",5,1,,3,1,,,,
"Otra lengua nativa (076)",4,1,,2,1,,,,
"Castellano (077)",759,142,54,298,200,14,18,13,20
"Es sordomudo/a (079)",32,27,,1,4,,,,
