"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TARMA (000)",30303,240,10909,10387,3639,1382,616,224,29,,2877
"Conviviente (001)",10460,80,4280,3600,1139,364,133,37,7,,820
"Separado(a) (002)",1907,26,653,672,271,110,36,22,2,,115
"Casado(a) (003)",11605,76,4129,4196,1530,623,290,103,13,,645
"Viudo(a) (004)",3238,39,1202,1177,353,148,89,46,2,,182
"Divorciado(a) (005)",173,2,63,57,24,11,6,3,,,7
"Soltero(a) (006)",2920,17,582,685,322,126,62,13,5,,1108
,,,,,,,,,,,
"URBANA (008)",19988,130,6468,6929,2690,1070,472,174,19,,2036
"Conviviente (009)",6628,47,2458,2359,802,280,106,27,4,,545
"Separado(a) (010)",1333,14,435,476,195,86,27,15,2,,83
"Casado(a) (011)",7755,42,2434,2831,1179,491,220,80,8,,470
"Viudo(a) (012)",2031,19,713,723,246,99,67,37,1,,126
"Divorciado(a) (013)",137,2,47,49,19,7,5,3,,,5
"Soltero(a) (014)",2104,6,381,491,249,107,47,12,4,,807
,,,,,,,,,,,
"RURAL (016)",10315,110,4441,3458,949,312,144,50,10,,841
"Conviviente (017)",3832,33,1822,1241,337,84,27,10,3,,275
"Separado(a) (018)",574,12,218,196,76,24,9,7,,,32
"Casado(a) (019)",3850,34,1695,1365,351,132,70,23,5,,175
"Viudo(a) (020)",1207,20,489,454,107,49,22,9,1,,56
"Divorciado(a) (021)",36,,16,8,5,4,1,,,,2
"Soltero(a) (022)",816,11,201,194,73,19,15,1,1,,301
