"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUARMEY (000)",13676,6539,304,201,6121,216,9,24,4,258
"Hombres (001)",4902,3312,244,101,950,111,6,13,4,161
"Mujeres (002)",8774,3227,60,100,5171,105,3,11,,97
"De 06 a 14 años (003)",5197,4947,,,156,42,,4,,48
"Hombres (004)",2647,2527,,,61,28,,2,,29
"Mujeres (005)",2550,2420,,,95,14,,2,,19
"De 15 a 29 años (006)",3591,1537,4,43,1921,,5,4,4,73
"Hombres (007)",1122,769,1,11,292,,3,3,4,39
"Mujeres (008)",2469,768,3,32,1629,,2,1,,34
"De 30 a 44 años (009)",1841,44,7,39,1706,,2,4,,39
"Hombres (010)",236,14,7,15,171,,1,1,,27
"Mujeres (011)",1605,30,,24,1535,,1,3,,12
"De 45 a 64 años (012)",1578,9,65,52,1400,2,1,6,,43
"Hombres (013)",311,2,46,27,198,2,1,4,,31
"Mujeres (014)",1267,7,19,25,1202,,,2,,12
"De 65 y más años (015)",1469,2,228,67,938,172,1,6,,55
"Hombres (016)",586,,190,48,228,81,1,3,,35
"Mujeres (017)",883,2,38,19,710,91,,3,,20
,,,,,,,,,,
"AREA URBANA (018)",10392,5000,265,157,4550,187,4,19,3,207
"Hombres (019)",3847,2481,210,81,837,97,3,10,3,125
"Mujeres (020)",6545,2519,55,76,3713,90,1,9,,82
"De 06 a 14 años (021)",3919,3726,,,123,36,,2,,32
"Hombres (022)",1974,1877,,,52,26,,1,,18
"Mujeres (023)",1945,1849,,,71,10,,1,,14
"De 15 a 29 años (024)",2726,1228,4,35,1388,,2,3,3,63
"Hombres (025)",909,592,1,10,264,,1,3,3,35
"Mujeres (026)",1817,636,3,25,1124,,1,,,28
"De 30 a 44 años (027)",1382,36,7,29,1271,,,3,,36
"Hombres (028)",200,10,7,11,148,,,,,24
"Mujeres (029)",1182,26,,18,1123,,,3,,12
"De 45 a 64 años (030)",1189,8,53,39,1048,1,1,6,,33
"Hombres (031)",265,2,36,20,178,1,1,4,,23
"Mujeres (032)",924,6,17,19,870,,,2,,10
"De 65 y más años (033)",1176,2,201,54,720,150,1,5,,43
"Hombres (034)",499,,166,40,195,70,1,2,,25
"Mujeres (035)",677,2,35,14,525,80,,3,,18
,,,,,,,,,,
"AREA RURAL (036)",3284,1539,39,44,1571,29,5,5,1,51
"Hombres (037)",1055,831,34,20,113,14,3,3,1,36
"Mujeres (038)",2229,708,5,24,1458,15,2,2,,15
"De 06 a 14 años (039)",1278,1221,,,33,6,,2,,16
"Hombres (040)",673,650,,,9,2,,1,,11
"Mujeres (041)",605,571,,,24,4,,1,,5
"De 15 a 29 años (042)",865,309,,8,533,,3,1,1,10
"Hombres (043)",213,177,,1,28,,2,,1,4
"Mujeres (044)",652,132,,7,505,,1,1,,6
"De 30 a 44 años (045)",459,8,,10,435,,2,1,,3
"Hombres (046)",36,4,,4,23,,1,1,,3
"Mujeres (047)",423,4,,6,412,,1,,,
"De 45 a 64 años (048)",389,1,12,13,352,1,,,,10
"Hombres (049)",46,,10,7,20,1,,,,8
"Mujeres (050)",343,1,2,6,332,,,,,2
"De 65 y más años (051)",293,,27,13,218,22,,1,,12
"Hombres (052)",87,,24,8,33,11,,1,,10
"Mujeres (053)",206,,3,5,185,11,,,,2
