"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TACNA (000)",71553,58985,12568
"Red pública dentro de la vivienda (001)",50215,48597,1618
"Red pública fuera de la vivienda (002)",2611,2152,459
"Pilón de uso público (003)",11471,5160,6311
"Camión - cisterna u otro similar (004)",1563,526,1037
"Pozo (005)",2162,1038,1124
"Río, acequia, manatial o similar (006)",2177,986,1191
"Vecino (007)",800,338,462
"Otro (008)",554,188,366
,,,
"URBANA (010)",66179,56465,9714
"Red pública dentro de la vivienda (011)",49776,48225,1551
"Red pública fuera de la vivienda (012)",2421,2006,415
"Pilón de uso público (013)",11271,5025,6246
"Camión - cisterna u otro similar (014)",776,397,379
"Pozo (015)",362,83,279
"Río, acequia, manatial o similar (016)",425,273,152
"Vecino (017)",704,290,414
"Otro (018)",444,166,278
,,,
"RURAL (020)",5374,2520,2854
"Red pública dentro de la vivienda (021)",439,372,67
"Red pública fuera de la vivienda (022)",190,146,44
"Pilón de uso público (023)",200,135,65
"Camión - cisterna u otro similar (024)",787,129,658
"Pozo (025)",1800,955,845
"Río, acequia, manatial o similar (026)",1752,713,1039
"Vecino (027)",96,48,48
"Otro (028)",110,22,88
