"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia OYON (000)",4943,3809,1134
"Red pública dentro de la vivienda (001)",2614,2405,209
"Red pública fuera de la vivienda (002)",825,777,48
"Pilón de uso público (003)",102,86,16
"Camión - cisterna u otro similar (004)",4,2,2
"Pozo (005)",26,9,17
"Río, acequia, manatial o similar (006)",1101,363,738
"Vecino (007)",188,124,64
"Otro (008)",83,43,40
,,,
"URBANA (010)",3199,2836,363
"Red pública dentro de la vivienda (011)",2122,1976,146
"Red pública fuera de la vivienda (012)",671,632,39
"Pilón de uso público (013)",85,72,13
"Camión - cisterna u otro similar (014)",3,1,2
"Pozo (015)",10,7,3
"Río, acequia, manatial o similar (016)",142,34,108
"Vecino (017)",126,92,34
"Otro (018)",40,22,18
,,,
"RURAL (020)",1744,973,771
"Red pública dentro de la vivienda (021)",492,429,63
"Red pública fuera de la vivienda (022)",154,145,9
"Pilón de uso público (023)",17,14,3
"Camión - cisterna u otro similar (024)",1,1,
"Pozo (025)",16,2,14
"Río, acequia, manatial o similar (026)",959,329,630
"Vecino (027)",62,32,30
"Otro (028)",43,21,22
