"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JORGE BASADRE (000)",5571,2200,426,475,2470
"Sin nivel (001)",238,198,11,4,25
"Educación inicial (002)",8,5,,,3
"Primaria (003)",916,557,55,47,257
"Secundaria (004)",2073,785,176,176,936
"Superior no univ. incompleta (005)",367,143,26,44,154
"Superior no univ. completa (006)",692,216,55,68,353
"Superior univ. incompleta (007)",307,112,19,16,160
"Superior univ. completa (008)",970,184,84,120,582
"De 06 a 14 años (010)",32,28,4,,
"Educación inicial (012)",2,2,,,
"Primaria (013)",15,14,1,,
"Secundaria (014)",15,12,3,,
"De 15 a 29 años (020)",1679,607,124,138,810
"Sin nivel (021)",5,1,1,2,1
"Educación inicial (022)",5,3,,,2
"Primaria (023)",90,52,11,8,19
"Secundaria (024)",855,354,63,70,368
"Superior no univ. incompleta (025)",143,48,10,15,70
"Superior no univ. completa (026)",259,83,19,24,133
"Superior univ. incompleta (027)",87,28,6,5,48
"Superior univ. completa (028)",235,38,14,14,169
"De 30 a 44 años (030)",2025,677,170,210,968
"Sin nivel (031)",55,47,1,,7
"Educación inicial (032)",1,,,,1
"Primaria (033)",272,145,22,10,95
"Secundaria (034)",699,240,60,65,334
"Superior no univ. incompleta (035)",138,57,9,15,57
"Superior no univ. completa (036)",271,66,19,35,151
"Superior univ. incompleta (037)",122,41,10,6,65
"Superior univ. completa (038)",467,81,49,79,258
"De 45 a 64 años (040)",1560,678,117,117,648
"Sin nivel (041)",110,88,6,1,15
"Primaria (043)",406,243,18,27,118
"Secundaria (044)",467,158,46,37,226
"Superior no univ. incompleta (045)",81,34,7,14,26
"Superior no univ. completa (046)",151,58,16,9,68
"Superior univ. incompleta (047)",92,38,3,5,46
"Superior univ. completa (048)",253,59,21,24,149
"De 65 y más años (050)",275,210,11,10,44
"Sin nivel (051)",68,62,3,1,2
"Primaria (053)",133,103,3,2,25
"Secundaria (054)",37,21,4,4,8
"Superior no univ. incompleta (055)",5,4,,,1
"Superior no univ. completa (056)",11,9,1,,1
"Superior univ. incompleta (057)",6,5,,,1
"Superior univ. completa (058)",15,6,,3,6
,,,,,
"URBANA (060)",3363,877,288,405,1793
"Sin nivel (061)",52,37,4,4,7
"Educación inicial (062)",2,1,,,1
