"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia HUAROCHIRI",,,,,,,,
"Hogares (001)",19199,14378,9586,3936,584,3578,1097,2832
"Ocupantes presentes (002)",69102,53390,38529,16333,2413,15163,4757,8198
"Casa independiente",,,,,,,,
"Hogares (004)",17409,13115,8747,3614,557,3422,1000,2537
"Ocupantes presentes (005)",63469,49225,35561,15136,2316,14605,4366,7491
"Departamento en edificio",,,,,,,,
"Hogares (007)",195,143,163,94,15,81,49,15
"Ocupantes presentes (008)",605,446,529,347,53,289,195,27
"Vivienda en quinta",,,,,,,,
"Hogares (010)",456,296,338,124,6,29,21,46
"Ocupantes presentes (011)",1444,972,1149,435,22,89,85,102
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",414,292,248,85,4,25,20,66
"Ocupantes presentes (014)",1522,1122,951,358,17,106,85,215
"Choza o cabaña",,,,,,,,
"Hogares (016)",510,412,27,5,,4,1,88
"Ocupantes presentes (017)",1377,1169,97,17,,13,1,175
"Vivienda improvisada",,,,,,,,
"Hogares (019)",162,83,40,7,1,7,1,67
"Ocupantes presentes (020)",515,316,155,25,4,31,4,161
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",40,30,22,7,1,10,5,7
"Ocupantes presentes (023)",128,107,82,15,1,30,21,18
"Otro tipo",,,,,,,,
"Hogares (025)",13,7,1,,,,,6
"Ocupantes presentes (026)",42,33,5,,,,,9
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",12801,9327,7722,3344,538,3021,1024,1852
"Ocupantes presentes (029)",47675,36238,31327,14015,2218,12879,4459,5328
"Casa independiente",,,,,,,,
"Hogares (031)",11543,8492,6913,3027,511,2871,928,1651
"Ocupantes presentes (032)",43493,33301,28468,12835,2121,12344,4069,4811
"Departamento en edificio",,,,,,,,
"Hogares (034)",195,143,163,94,15,81,49,15
"Ocupantes presentes (035)",605,446,529,347,53,289,195,27
"Vivienda en quinta",,,,,,,,
"Hogares (037)",456,296,338,124,6,29,21,46
"Ocupantes presentes (038)",1444,972,1149,435,22,89,85,102
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",414,292,248,85,4,25,20,66
"Ocupantes presentes (041)",1522,1122,951,358,17,106,85,215
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",162,83,40,7,1,7,1,67
"Ocupantes presentes (047)",515,316,155,25,4,31,4,161
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",27,20,19,7,1,8,5,4
"Ocupantes presentes (050)",87,76,70,15,1,20,21,8
"Otro tipo",,,,,,,,
"Hogares (052)",4,1,1,,,,,3
"Ocupantes presentes (053)",9,5,5,,,,,4
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",6398,5051,1864,592,46,557,73,980
"Ocupantes presentes (056)",21427,17152,7202,2318,195,2284,298,2870
"Casa independiente",,,,,,,,
"Hogares (058)",5866,4623,1834,587,46,551,72,886
"Ocupantes presentes (059)",19976,15924,7093,2301,195,2261,297,2680
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",510,412,27,5,,4,1,88
"Ocupantes presentes (071)",1377,1169,97,17,,13,1,175
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",13,10,3,,,2,,3
"Ocupantes presentes (077)",41,31,12,,,10,,10
"Otro tipo",,,,,,,,
"Hogares (079)",9,6,,,,,,3
"Ocupantes presentes (080)",33,28,,,,,,5
