"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUAYLAS (000)",707,175,532
"De 14 a 29 años (001)",398,155,243
"De 30 a 44 años (002)",180,19,161
"De 45 a 64 años (003)",102,1,101
"De 65 y más años (004)",27,,27
"Hombres (005)",557,119,438
"De 14 a 29 años (006)",292,103,189
"De 30 a 44 años (007)",144,15,129
"De 45 a 64 años (008)",97,1,96
"De 65 y más años (009)",24,,24
"Mujeres (010)",150,56,94
"De 14 a 29 años (011)",106,52,54
"De 30 a 44 años (012)",36,4,32
"De 45 a 64 años (013)",5,,5
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",367,94,273
"De 14 a 29 años (016)",200,81,119
"De 30 a 44 años (017)",105,13,92
"De 45 a 64 años (018)",47,,47
"De 65 y más años (019)",15,,15
"Hombres (020)",253,54,199
"De 14 a 29 años (021)",123,45,78
"De 30 a 44 años (022)",74,9,65
"De 45 a 64 años (023)",44,,44
"De 65 y más años (024)",12,,12
"Mujeres (025)",114,40,74
"De 14 a 29 años (026)",77,36,41
"De 30 a 44 años (027)",31,4,27
"De 45 a 64 años (028)",3,,3
"De 65 y más años (029)",3,,3
,,,
"AREA RURAL (030)",340,81,259
"De 14 a 29 años (031)",198,74,124
"De 30 a 44 años (032)",75,6,69
"De 45 a 64 años (033)",55,1,54
"De 65 y más años (034)",12,,12
"Hombres (035)",304,65,239
"De 14 a 29 años (036)",169,58,111
"De 30 a 44 años (037)",70,6,64
"De 45 a 64 años (038)",53,1,52
"De 65 y más años (039)",12,,12
"Mujeres (040)",36,16,20
"De 14 a 29 años (041)",29,16,13
"De 30 a 44 años (042)",5,,5
"De 45 a 64 años (043)",2,,2
