"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANDIA (000)",26380,23982,1356,467,575
"Agric., ganadería, caza y silvicultura (001)",20418,19684,697,30,7
"Pesca (002)",1,1,,,
"Explotación de minas y canteras (003)",1593,1334,179,77,3
"Industrias manufactureras (004)",180,166,10,4,
"Suministro de electricidad, gas y agua (005)",7,,,6,1
"Construcción (006)",464,318,96,45,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1253,1221,25,5,2
"Venta, mant.y rep. veh.autom y motoc. (008)",47,44,3,,
"Comercio al por mayor (009)",30,25,3,,2
"Comercio al por menor (010)",1176,1152,19,5,
"Hoteles y restaurantes (011)",255,243,10,1,1
"Trans., almac. y comunicaciones (012)",255,223,20,8,4
"Intermediación financiera (013)",12,9,2,,1
"Activid.inmobil., empres. y alquileres (014)",95,58,5,18,14
"Admin.pub. y defensa; p. segur soc.afil (015)",335,,,,335
"Enseñanza (016)",892,291,279,254,68
"Servicios sociales y de salud (017)",160,24,1,9,126
"Otras activ. serv.comun.soc y personales (018)",93,71,15,6,1
"Hogares privados con servicio doméstico (019)",116,116,,,
"Actividad economica no especificada (021)",251,223,17,4,7
"Hombres (022)",16910,15161,972,359,418
"Agric., ganadería, caza y silvicultura (023)",12930,12452,446,29,3
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",1488,1239,174,72,3
"Industrias manufactureras (026)",140,129,9,2,
"Suministro de electricidad, gas y agua (027)",7,,,6,1
"Construcción (028)",453,309,94,45,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",445,430,10,4,1
"Venta, mant.y rep. veh.autom y motoc. (030)",38,36,2,,
"Comercio al por mayor (031)",16,12,3,,1
"Comercio al por menor (032)",391,382,5,4,
"Hoteles y restaurantes (033)",42,39,2,1,
"Trans., almac. y comunicaciones (034)",228,199,19,6,4
"Intermediación financiera (035)",10,7,2,,1
"Activid.inmobil., empres. y alquileres (036)",77,53,4,15,5
"Admin.pub. y defensa; p. segur soc.afil (037)",282,,,,282
"Enseñanza (038)",558,157,188,165,48
"Servicios sociales y de salud (039)",78,12,1,6,59
"Otras activ. serv.comun.soc y personales (040)",50,29,14,6,1
"Hogares privados con servicio doméstico (041)",31,31,,,
"Actividad economica no especificada (043)",90,74,9,2,5
