"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CARAVELI (000)",33910,4265,4346,1057,24306
"Quechua (001)",4912,226,511,120,4065
"Aymara (002)",362,12,25,9,317
"Asháninka (003)",5,2,,,3
"Otra lengua nativa (004)",4,2,,1,2
"Castellano (005)",28565,4018,3806,902,19891
"Idioma Extranjero (006)",32,,3,25,4
"Es Sordomudo/a (007)",30,5,1,,24
"Hombres (009)",19290,2126,2617,766,13831
"Quechua (010)",2930,111,383,100,2346
"Aymara (011)",240,3,22,8,208
"Asháninka (012)",4,1,,,3
"Castellano (014)",16085,2009,2209,648,11258
"Idioma Extranjero (015)",14,,3,10,1
"Es Sordomudo/a (016)",17,2,,,15
"Mujeres (018)",14620,2139,1729,291,10475
"Quechua (019)",1982,115,128,20,1719
"Aymara (020)",122,9,3,1,109
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",4,2,,1,2
"Castellano (023)",12480,2009,1597,254,8633
"Idioma Extranjero (024)",18,,,15,3
"Es Sordomudo/a (025)",13,3,1,,9
,,,,,
"URBANA (027)",21838,2998,3452,767,14672
"Quechua (028)",2139,86,307,73,1678
"Aymara (029)",169,8,15,4,143
"Asháninka (030)",3,2,,,1
"Otra lengua nativa (031)",3,1,,1,2
"Castellano (032)",19499,2900,3126,688,12829
"Idioma Extranjero (033)",6,,3,1,2
"Es Sordomudo/a (034)",19,1,1,,17
"Hombres (036)",11556,1492,1911,529,7663
"Quechua (037)",1156,42,207,56,856
"Aymara (038)",103,2,13,3,86
"Asháninka (039)",2,1,,,1
"Castellano (041)",10280,1447,1688,470,6708
"Idioma Extranjero (042)",3,,3,,
"Es Sordomudo/a (043)",12,,,,12
"Mujeres (045)",10282,1506,1541,238,7009
"Quechua (046)",983,44,100,17,822
"Aymara (047)",66,6,2,1,57
"Asháninka (048)",1,1,,,
"Otra lengua nativa (049)",3,1,,1,2
"Castellano (050)",9219,1453,1438,218,6121
"Idioma Extranjero (051)",3,,,1,2
"Es Sordomudo/a (052)",7,1,1,,5
,,,,,
"RURAL (054)",12072,1267,894,290,9634
"Quechua (055)",2773,140,204,47,2387
"Aymara (056)",193,4,10,5,174
"Asháninka (057)",2,,,,2
"Otra lengua nativa (058)",1,1,,,
"Castellano (059)",9066,1118,680,214,7062
"Idioma Extranjero (060)",26,,,24,2
"Es Sordomudo/a (061)",11,4,,,7
"Hombres (063)",7734,634,706,237,6168
"Quechua (064)",1774,69,176,44,1490
"Aymara (065)",137,1,9,5,122
"Asháninka (066)",2,,,,2
"Castellano (068)",5805,562,521,178,4550
"Idioma Extranjero (069)",11,,,10,1
"Es Sordomudo/a (070)",5,2,,,3
"Mujeres (072)",4338,633,188,53,3466
"Quechua (073)",999,71,28,3,897
"Aymara (074)",56,3,1,,52
"Otra lengua nativa (076)",1,1,,,
"Castellano (077)",3261,556,159,36,2512
"Idioma Extranjero (078)",15,,,14,1
"Es Sordomudo/a (079)",6,2,,,4
