"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia ALTO AMAZONAS (000)",53481,48229,5252
"Hombres (001)",27370,25367,2003
"Mujeres (002)",26111,22862,3249
"De 18 a 29 años (003)",19107,16438,2669
"Hombres (004)",9383,8177,1206
"Mujeres (005)",9724,8261,1463
"De 30 a 44 años (006)",18120,16961,1159
"Hombres (007)",9337,8958,379
"Mujeres (008)",8783,8003,780
"De 45 a 64 años (009)",12504,11685,819
"Hombres (010)",6765,6517,248
"Mujeres (011)",5739,5168,571
"De 65 y más años (012)",3750,3145,605
"Hombres (013)",1885,1715,170
"Mujeres (014)",1865,1430,435
,,,
"URBANA (015)",34233,32434,1799
"Hombres (016)",16952,16246,706
"Mujeres (017)",17281,16188,1093
"De 18 a 29 años (018)",11681,10725,956
"Hombres (019)",5610,5164,446
"Mujeres (020)",6071,5561,510
"De 30 a 44 años (021)",11505,11247,258
"Hombres (022)",5659,5547,112
"Mujeres (023)",5846,5700,146
"De 45 a 64 años (024)",8289,8061,228
"Hombres (025)",4348,4280,68
"Mujeres (026)",3941,3781,160
"De 65 y más años (027)",2758,2401,357
"Hombres (028)",1335,1255,80
"Mujeres (029)",1423,1146,277
,,,
"RURAL (030)",19248,15795,3453
"Hombres (031)",10418,9121,1297
"Mujeres (032)",8830,6674,2156
"De 18 a 29 años (033)",7426,5713,1713
"Hombres (034)",3773,3013,760
"Mujeres (035)",3653,2700,953
"De 30 a 44 años (036)",6615,5714,901
"Hombres (037)",3678,3411,267
"Mujeres (038)",2937,2303,634
"De 45 a 64 años (039)",4215,3624,591
"Hombres (040)",2417,2237,180
"Mujeres (041)",1798,1387,411
"De 65 y más años (042)",992,744,248
"Hombres (043)",550,460,90
"Mujeres (044)",442,284,158
