"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia RIOJA (000)",945,263,682
"De 14 a 29 años (001)",543,199,344
"De 30 a 44 años (002)",239,58,181
"De 45 a 64 años (003)",132,6,126
"De 65 y más años (004)",31,,31
"Hombres (005)",687,177,510
"De 14 a 29 años (006)",376,132,244
"De 30 a 44 años (007)",178,40,138
"De 45 a 64 años (008)",106,5,101
"De 65 y más años (009)",27,,27
"Mujeres (010)",258,86,172
"De 14 a 29 años (011)",167,67,100
"De 30 a 44 años (012)",61,18,43
"De 45 a 64 años (013)",26,1,25
"De 65 y más años (014)",4,,4
,,,
"AREA URBANA (015)",816,201,615
"De 14 a 29 años (016)",456,152,304
"De 30 a 44 años (017)",208,44,164
"De 45 a 64 años (018)",124,5,119
"De 65 y más años (019)",28,,28
"Hombres (020)",578,126,452
"De 14 a 29 años (021)",301,95,206
"De 30 a 44 años (022)",154,27,127
"De 45 a 64 años (023)",99,4,95
"De 65 y más años (024)",24,,24
"Mujeres (025)",238,75,163
"De 14 a 29 años (026)",155,57,98
"De 30 a 44 años (027)",54,17,37
"De 45 a 64 años (028)",25,1,24
"De 65 y más años (029)",4,,4
,,,
"AREA RURAL (030)",129,62,67
"De 14 a 29 años (031)",87,47,40
"De 30 a 44 años (032)",31,14,17
"De 45 a 64 años (033)",8,1,7
"De 65 y más años (034)",3,,3
"Hombres (035)",109,51,58
"De 14 a 29 años (036)",75,37,38
"De 30 a 44 años (037)",24,13,11
"De 45 a 64 años (038)",7,1,6
"De 65 y más años (039)",3,,3
"Mujeres (040)",20,11,9
"De 14 a 29 años (041)",12,10,2
"De 30 a 44 años (042)",7,1,6
"De 45 a 64 años (043)",1,,1
