"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia REQUENA (000)",32895,29335,3560
"Hombres (001)",17545,15772,1773
"Mujeres (002)",15350,13563,1787
"De 18 a 29 años (003)",12113,9997,2116
"Hombres (004)",6057,4990,1067
"Mujeres (005)",6056,5007,1049
"De 30 a 44 años (006)",10775,10244,531
"Hombres (007)",5747,5448,299
"Mujeres (008)",5028,4796,232
"De 45 a 64 años (009)",7335,6909,426
"Hombres (010)",4160,3971,189
"Mujeres (011)",3175,2938,237
"De 65 y más años (012)",2672,2185,487
"Hombres (013)",1581,1363,218
"Mujeres (014)",1091,822,269
,,,
"URBANA (015)",19252,17664,1588
"Hombres (016)",9959,9174,785
"Mujeres (017)",9293,8490,803
"De 18 a 29 años (018)",7054,6061,993
"Hombres (019)",3469,2963,506
"Mujeres (020)",3585,3098,487
"De 30 a 44 años (021)",6386,6176,210
"Hombres (022)",3238,3119,119
"Mujeres (023)",3148,3057,91
"De 45 a 64 años (024)",4304,4135,169
"Hombres (025)",2396,2329,67
"Mujeres (026)",1908,1806,102
"De 65 y más años (027)",1508,1292,216
"Hombres (028)",856,763,93
"Mujeres (029)",652,529,123
,,,
"RURAL (030)",13643,11671,1972
"Hombres (031)",7586,6598,988
"Mujeres (032)",6057,5073,984
"De 18 a 29 años (033)",5059,3936,1123
"Hombres (034)",2588,2027,561
"Mujeres (035)",2471,1909,562
"De 30 a 44 años (036)",4389,4068,321
"Hombres (037)",2509,2329,180
"Mujeres (038)",1880,1739,141
"De 45 a 64 años (039)",3031,2774,257
"Hombres (040)",1764,1642,122
"Mujeres (041)",1267,1132,135
"De 65 y más años (042)",1164,893,271
"Hombres (043)",725,600,125
"Mujeres (044)",439,293,146
