"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHANCHAMAYO (000)",158346,23575,13050,4298,117713
"Quechua (001)",14723,654,620,223,13235
"Aymara (002)",131,20,11,8,97
"Asháninka (003)",5965,1956,113,125,3774
"Otra lengua nativa (004)",729,124,37,5,565
"Castellano (005)",136580,20773,12260,3933,99885
"Idioma Extranjero (006)",17,,1,2,14
"Es Sordomudo/a (007)",201,48,8,2,143
"Hombres (009)",83809,11648,6864,2776,62731
"Quechua (010)",7805,293,379,160,6978
"Aymara (011)",70,9,7,5,51
"Asháninka (012)",3105,899,54,112,2043
"Otra lengua nativa (013)",392,62,19,4,309
"Castellano (014)",72298,10358,6400,2492,53246
"Idioma Extranjero (015)",12,,1,1,10
"Es Sordomudo/a (016)",127,27,4,2,94
"Mujeres (018)",74537,11927,6186,1522,54982
"Quechua (019)",6918,361,241,63,6257
"Aymara (020)",61,11,4,3,46
"Asháninka (021)",2860,1057,59,13,1731
"Otra lengua nativa (022)",337,62,18,1,256
"Castellano (023)",64282,10415,5860,1441,46639
"Idioma Extranjero (024)",5,,,1,4
"Es Sordomudo/a (025)",74,21,4,,49
,,,,,
"URBANA (027)",90724,9711,10755,3430,67042
"Quechua (028)",6201,258,419,139,5390
"Aymara (029)",64,5,11,5,46
"Asháninka (030)",449,38,35,100,278
"Otra lengua nativa (031)",165,10,28,2,125
"Castellano (032)",83737,9380,10256,3181,61124
"Idioma Extranjero (033)",16,,1,1,14
"Es Sordomudo/a (034)",92,20,5,2,65
"Hombres (036)",46106,4725,5404,2188,33933
"Quechua (037)",3029,107,234,95,2596
"Aymara (038)",36,1,7,3,26
"Asháninka (039)",243,15,17,97,116
"Otra lengua nativa (040)",75,4,13,2,56
"Castellano (041)",42653,4585,5130,1988,31088
"Idioma Extranjero (042)",12,,1,1,10
"Es Sordomudo/a (043)",58,13,2,2,41
"Mujeres (045)",44618,4986,5351,1242,33109
"Quechua (046)",3172,151,185,44,2794
"Aymara (047)",28,4,4,2,20
"Asháninka (048)",206,23,18,3,162
"Otra lengua nativa (049)",90,6,15,,69
"Castellano (050)",41084,4795,5126,1193,30036
"Idioma Extranjero (051)",4,,,,4
"Es Sordomudo/a (052)",34,7,3,,24
,,,,,
"RURAL (054)",67622,13864,2295,868,50671
"Quechua (055)",8522,396,201,84,7845
"Aymara (056)",67,15,,3,51
"Asháninka (057)",5516,1918,78,25,3496
"Otra lengua nativa (058)",564,114,9,3,440
"Castellano (059)",52843,11393,2004,752,38761
"Idioma Extranjero (060)",1,,,1,
"Es Sordomudo/a (061)",109,28,3,,78
"Hombres (063)",37703,6923,1460,588,28798
"Quechua (064)",4776,186,145,65,4382
"Aymara (065)",34,8,,2,25
"Asháninka (066)",2862,884,37,15,1927
"Otra lengua nativa (067)",317,58,6,2,253
"Castellano (068)",29645,5773,1270,504,22158
"Es Sordomudo/a (070)",69,14,2,,53
"Mujeres (072)",29919,6941,835,280,21873
"Quechua (073)",3746,210,56,19,3463
"Aymara (074)",33,7,,1,26
"Asháninka (075)",2654,1034,41,10,1569
"Otra lengua nativa (076)",247,56,3,1,187
"Castellano (077)",23198,5620,734,248,16603
"Idioma Extranjero (078)",1,,,1,
"Es Sordomudo/a (079)",40,14,1,,25
