"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TAYACAJA (000)",32013,736,10398,10534,7905,2440
"Agric., ganadería, caza y silvicultura (001)",24040,592,7419,7636,6264,2129
"Pesca (002)",7,,6,1,,
"Explotación de minas y canteras (003)",39,,16,17,5,1
"Industrias manufactureras (004)",455,9,195,130,91,30
"Suministro de electricidad, gas y agua (005)",55,,10,19,26,
"Construcción (006)",507,2,173,195,127,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1714,46,566,603,391,108
"Venta, mant.y rep. veh.autom.y motoc. (008)",78,1,36,20,17,4
"Comercio al por mayor (009)",96,,36,35,21,4
"Comercio al por menor (010)",1540,45,494,548,353,100
"Hoteles y restaurantes (011)",523,15,176,181,128,23
"Trans., almac. y comunicaciones (012)",464,3,233,149,74,5
"Intermediación financiera (013)",13,,7,4,2,
"Activid.inmobil., empres. y alquileres (014)",191,2,66,85,36,2
"Admin.pub. y defensa; p. segur.soc afil (015)",490,,198,182,102,8
"Enseñanza (016)",1006,,206,556,242,2
"Servicios sociales y de salud (017)",269,,107,120,41,1
"Otras activ. serv.comun.soc y personales (018)",169,14,59,51,40,5
"Hogares privados con servicio doméstico (019)",241,12,122,60,35,12
"Actividad economica no especificada (021)",648,12,229,210,137,60
"Desocupado (022)",1182,29,610,335,164,44
"Hombres (023)",22594,432,7171,7437,5717,1837
"Agric., ganadería, caza y silvicultura (024)",17923,347,5447,5764,4698,1667
"Pesca (025)",7,,6,1,,
"Explotación de minas y canteras (026)",38,,16,17,5,
"Industrias manufactureras (027)",327,7,133,89,75,23
"Suministro de electricidad, gas y agua (028)",52,,8,18,26,
"Construcción (029)",492,2,167,187,126,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",731,26,230,257,167,51
"Venta, mant.y rep. veh.autom.y motoc. (031)",70,1,31,19,15,4
"Comercio al por mayor (032)",61,,21,25,13,2
"Comercio al por menor (033)",600,25,178,213,139,45
"Hoteles y restaurantes (034)",95,6,32,29,20,8
"Trans., almac. y comunicaciones (035)",445,3,221,143,73,5
"Intermediación financiera (036)",6,,1,3,2,
"Activid.inmobil., empres. y alquileres (037)",155,,48,70,35,2
"Admin.pub. y defensa; p. segur.soc afil (038)",377,,129,145,95,8
"Enseñanza (039)",534,,99,275,158,2
"Servicios sociales y de salud (040)",122,,39,56,26,1
