"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN PABLO (000)",782,337,445
"De 14 a 29 años (001)",497,282,215
"De 30 a 44 años (002)",193,51,142
"De 45 a 64 años (003)",69,4,65
"De 65 y más años (004)",23,,23
"Hombres (005)",596,227,369
"De 14 a 29 años (006)",350,183,167
"De 30 a 44 años (007)",162,40,122
"De 45 a 64 años (008)",62,4,58
"De 65 y más años (009)",22,,22
"Mujeres (010)",186,110,76
"De 14 a 29 años (011)",147,99,48
"De 30 a 44 años (012)",31,11,20
"De 45 a 64 años (013)",7,,7
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",131,42,89
"De 14 a 29 años (016)",68,31,37
"De 30 a 44 años (017)",50,11,39
"De 45 a 64 años (018)",10,,10
"De 65 y más años (019)",3,,3
"Hombres (020)",96,30,66
"De 14 a 29 años (021)",49,22,27
"De 30 a 44 años (022)",37,8,29
"De 45 a 64 años (023)",8,,8
"De 65 y más años (024)",2,,2
"Mujeres (025)",35,12,23
"De 14 a 29 años (026)",19,9,10
"De 30 a 44 años (027)",13,3,10
"De 45 a 64 años (028)",2,,2
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",651,295,356
"De 14 a 29 años (031)",429,251,178
"De 30 a 44 años (032)",143,40,103
"De 45 a 64 años (033)",59,4,55
"De 65 y más años (034)",20,,20
"Hombres (035)",500,197,303
"De 14 a 29 años (036)",301,161,140
"De 30 a 44 años (037)",125,32,93
"De 45 a 64 años (038)",54,4,50
"De 65 y más años (039)",20,,20
"Mujeres (040)",151,98,53
"De 14 a 29 años (041)",128,90,38
"De 30 a 44 años (042)",18,8,10
"De 45 a 64 años (043)",5,,5
