"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUANCABAMBA (000)",72455,34246,254,689,33435,1411,126,107,4,2183
"Hombres (001)",26863,17742,132,502,6175,807,104,71,4,1326
"Mujeres (002)",45592,16504,122,187,27260,604,22,36,,857
"De 06 a 14 años (003)",30123,27760,,,1199,545,7,18,,594
"Hombres (004)",15154,14239,,,353,287,4,14,,257
"Mujeres (005)",14969,13521,,,846,258,3,4,,337
"De 15 a 29 años (006)",17631,6234,10,158,10355,,47,33,4,790
"Hombres (007)",6019,3426,7,103,1925,,38,19,4,497
"Mujeres (008)",11612,2808,3,55,8430,,9,14,,293
"De 30 a 44 años (009)",9912,157,20,154,9092,,37,20,,432
"Hombres (010)",1944,52,7,112,1413,,33,15,,312
"Mujeres (011)",7968,105,13,42,7679,,4,5,,120
"De 45 a 64 años (012)",9126,87,93,190,8328,86,19,16,,307
"Hombres (013)",1974,22,48,144,1453,63,14,9,,221
"Mujeres (014)",7152,65,45,46,6875,23,5,7,,86
"De 65 y más años (015)",5663,8,131,187,4461,780,16,20,,60
"Hombres (016)",1772,3,70,143,1031,457,15,14,,39
"Mujeres (017)",3891,5,61,44,3430,323,1,6,,21
,,,,,,,,,,
"AREA URBANA (018)",7990,4315,190,133,3107,105,4,18,,118
"Hombres (019)",3173,2181,93,79,687,50,3,11,,69
"Mujeres (020)",4817,2134,97,54,2420,55,1,7,,49
"De 06 a 14 años (021)",3105,3004,,,70,18,,1,,12
"Hombres (022)",1598,1550,,,32,10,,,,6
"Mujeres (023)",1507,1454,,,38,8,,1,,6
"De 15 a 29 años (024)",2235,1266,6,25,878,,2,5,,53
"Hombres (025)",846,617,4,9,182,,2,2,,30
"Mujeres (026)",1389,649,2,16,696,,,3,,23
"De 30 a 44 años (027)",971,32,8,24,884,,1,2,,20
"Hombres (028)",207,9,2,13,162,,1,2,,18
"Mujeres (029)",764,23,6,11,722,,,,,2
"De 45 a 64 años (030)",943,11,78,38,786,3,1,6,,20
"Hombres (031)",245,4,36,23,166,2,,4,,10
"Mujeres (032)",698,7,42,15,620,1,1,2,,10
"De 65 y más años (033)",736,2,98,46,489,84,,4,,13
"Hombres (034)",277,1,51,34,145,38,,3,,5
"Mujeres (035)",459,1,47,12,344,46,,1,,8
,,,,,,,,,,
"AREA RURAL (036)",64465,29931,64,556,30328,1306,122,89,4,2065
"Hombres (037)",23690,15561,39,423,5488,757,101,60,4,1257
"Mujeres (038)",40775,14370,25,133,24840,549,21,29,,808
"De 06 a 14 años (039)",27018,24756,,,1129,527,7,17,,582
"Hombres (040)",13556,12689,,,321,277,4,14,,251
"Mujeres (041)",13462,12067,,,808,250,3,3,,331
"De 15 a 29 años (042)",15396,4968,4,133,9477,,45,28,4,737
"Hombres (043)",5173,2809,3,94,1743,,36,17,4,467
"Mujeres (044)",10223,2159,1,39,7734,,9,11,,270
"De 30 a 44 años (045)",8941,125,12,130,8208,,36,18,,412
"Hombres (046)",1737,43,5,99,1251,,32,13,,294
"Mujeres (047)",7204,82,7,31,6957,,4,5,,118
"De 45 a 64 años (048)",8183,76,15,152,7542,83,18,10,,287
"Hombres (049)",1729,18,12,121,1287,61,14,5,,211
"Mujeres (050)",6454,58,3,31,6255,22,4,5,,76
"De 65 y más años (051)",4927,6,33,141,3972,696,16,16,,47
"Hombres (052)",1495,2,19,109,886,419,15,11,,34
"Mujeres (053)",3432,4,14,32,3086,277,1,5,,13
