"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAMANGA (000)",207769,29661,6234,69700,57825,7721,9108,12526,14994
"Quechua (001)",104644,20998,2233,44268,26179,2375,2782,2469,3340
"Aymara (002)",223,23,6,64,73,11,11,15,20
"Ashaninca (003)",42,1,,15,17,3,4,1,1
"Otra lengua nativa (004)",118,5,8,21,28,5,8,12,31
"Castellano (005)",102452,8480,3981,25283,31518,5325,6300,10022,11543
"Idioma extranjero (006)",72,1,,1,5,1,3,6,55
"Es sordomudo/a (007)",218,153,6,48,5,1,,1,4
"Hombres (009)",101044,10089,3122,33279,31602,3649,3881,7284,8138
"Quechua (010)",49544,5776,1070,20681,15438,1251,1392,1752,2184
"Aymara (011)",113,4,1,28,42,6,3,11,18
"Ashaninca (012)",24,,,8,10,1,3,1,1
"Otra lengua nativa (013)",54,1,6,3,15,3,4,6,16
"Castellano (014)",51166,4244,2041,12529,16090,2387,2477,5511,5887
"Idioma extranjero (015)",38,1,,,4,,2,3,28
"Es sordomudo/a (016)",105,63,4,30,3,1,,,4
"Mujeres (018)",106725,19572,3112,36421,26223,4072,5227,5242,6856
"Quechua (019)",55100,15222,1163,23587,10741,1124,1390,717,1156
"Aymara (020)",110,19,5,36,31,5,8,4,2
"Ashaninca (021)",18,1,,7,7,2,1,,
"Otra lengua nativa (022)",64,4,2,18,13,2,4,6,15
"Castellano (023)",51286,4236,1940,12754,15428,2938,3823,4511,5656
"Idioma extranjero (024)",34,,,1,1,1,1,3,27
"Es sordomudo/a (025)",113,90,2,18,2,,,1,
,,,,,,,,,
"URBANA (027)",152369,15656,4258,42272,46831,7361,8899,12286,14806
"Quechua (028)",54245,7844,502,18847,16765,2136,2642,2303,3206
"Aymara (029)",179,13,2,41,66,11,11,15,20
"Ashaninca (030)",38,,,14,16,3,3,1,1
"Otra lengua nativa (031)",111,4,8,16,27,5,8,12,31
"Castellano (032)",97595,7712,3742,23321,29947,5204,6232,9948,11489
"Idioma extranjero (033)",72,1,,1,5,1,3,6,55
"Es sordomudo/a (034)",129,82,4,32,5,1,,1,4
"Hombres (036)",73936,5395,2166,19486,24565,3445,3767,7107,8005
"Quechua (037)",25133,1531,255,7925,9295,1104,1312,1626,2085
"Aymara (038)",94,2,,17,37,6,3,11,18
"Ashaninca (039)",23,,,7,10,1,3,1,1
"Otra lengua nativa (040)",53,1,6,3,14,3,4,6,16
"Castellano (041)",48528,3825,1902,11513,15202,2330,2443,5460,5853
"Idioma extranjero (042)",38,1,,,4,,2,3,28
"Es sordomudo/a (043)",67,35,3,21,3,1,,,4
"Mujeres (045)",78433,10261,2092,22786,22266,3916,5132,5179,6801
"Quechua (046)",29112,6313,247,10922,7470,1032,1330,677,1121
"Aymara (047)",85,11,2,24,29,5,8,4,2
"Ashaninca (048)",15,,,7,6,2,,,
"Otra lengua nativa (049)",58,3,2,13,13,2,4,6,15
"Castellano (050)",49067,3887,1840,11808,14745,2874,3789,4488,5636
"Idioma extranjero (051)",34,,,1,1,1,1,3,27
"Es sordomudo/a (052)",62,47,1,11,2,,,1,
,,,,,,,,,
"RURAL (054)",55400,14005,1976,27428,10994,360,209,240,188
"Quechua (055)",50399,13154,1731,25421,9414,239,140,166,134
"Aymara (056)",44,10,4,23,7,,,,
"Ashaninca (057)",4,1,,1,1,,1,,
"Otra lengua nativa (058)",7,1,,5,1,,,,
"Castellano (059)",4857,768,239,1962,1571,121,68,74,54
"Es sordomudo/a (061)",89,71,2,16,,,,,
"Hombres (063)",27108,4694,956,13793,7037,204,114,177,133
"Quechua (064)",24411,4245,815,12756,6143,147,80,126,99
"Aymara (065)",19,2,1,11,5,,,,
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",1,,,,1,,,,
"Castellano (068)",2638,419,139,1016,888,57,34,51,34
"Es sordomudo/a (070)",38,28,1,9,,,,,
"Mujeres (072)",28292,9311,1020,13635,3957,156,95,63,55
"Quechua (073)",25988,8909,916,12665,3271,92,60,40,35
"Aymara (074)",25,8,3,12,2,,,,
"Ashaninca (075)",3,1,,,1,,1,,
"Otra lengua nativa (076)",6,1,,5,,,,,
"Castellano (077)",2219,349,100,946,683,64,34,23,20
"Es sordomudo/a (079)",51,43,1,7,,,,,
