"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia ANTA",,,,,,,
"Viviendas particulares (001)",13659,2026,900,915,1793,420,7605
"Ocupantes presentes (002)",54165,8256,3646,3935,7655,1665,29008
"Casa independiente",,,,,,,
"Viviendas particulares (004)",13220,1999,889,911,1732,402,7287
"Ocupantes presentes (005)",52585,8116,3602,3918,7396,1606,27947
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",3,1,1,,,,1
"Ocupantes presentes (011)",10,1,4,,,,5
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",16,5,9,,,,2
"Ocupantes presentes (014)",78,32,39,,,,7
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",408,21,,4,59,14,310
"Ocupantes presentes (017)",1469,107,,17,257,48,1040
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",8,,1,,2,1,4
"Ocupantes presentes (023)",11,,1,,2,1,7
"Otro tipo",,,,,,,
"Viviendas particulares (025)",4,,,,,3,1
"Ocupantes presentes (026)",12,,,,,10,2
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",4777,1803,813,201,269,106,1585
"Ocupantes presentes (029)",18847,7331,3291,819,1132,423,5851
"Casa independiente",,,,,,,
"Viviendas particulares (031)",4753,1797,802,201,269,103,1581
"Ocupantes presentes (032)",18747,7298,3247,819,1132,413,5838
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",3,1,1,,,,1
"Ocupantes presentes (038)",10,1,4,,,,5
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",16,5,9,,,,2
"Ocupantes presentes (041)",78,32,39,,,,7
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",2,,1,,,,1
"Ocupantes presentes (050)",2,,1,,,,1
"Otro tipo",,,,,,,
"Viviendas particulares (052)",3,,,,,3,
"Ocupantes presentes (053)",10,,,,,10,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",8882,223,87,714,1524,314,6020
"Ocupantes presentes (056)",35318,925,355,3116,6523,1242,23157
"Casa independiente",,,,,,,
"Viviendas particulares (058)",8467,202,87,710,1463,299,5706
"Ocupantes presentes (059)",33838,818,355,3099,6264,1193,22109
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",408,21,,4,59,14,310
"Ocupantes presentes (071)",1469,107,,17,257,48,1040
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",6,,,,2,1,3
"Ocupantes presentes (077)",9,,,,2,1,6
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,,,1
"Ocupantes presentes (080)",2,,,,,,2
