"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LEONCIO PRADO (000)",29351,742,13412,8235,2435,903,378,112,15,,3119
"Sin Nivel (001)",4813,210,2479,1206,318,127,59,30,4,,380
"Educación Inicial (002)",48,2,24,13,1,,,,,,8
"Primaria (003)",10986,393,6076,2680,590,235,133,38,5,,836
"Secundaria (004)",8971,119,4087,2808,701,206,86,26,3,,935
"Sup. no Univ. Incompleta (005)",819,3,200,334,103,21,6,1,,,151
"Sup. no Univ. Completa (006)",1212,7,227,419,232,101,24,3,,,199
"Sup. Univ. Incompleta (007)",926,4,155,318,130,37,9,3,,,270
"Sup. Univ. Completa (008)",1576,4,164,457,360,176,61,11,3,,340
,,,,,,,,,,,
"URBANA (010)",18382,410,7508,5351,1793,733,313,86,13,,2175
"Sin Nivel (011)",1608,82,790,372,99,56,28,17,2,,162
"Educación Inicial (012)",26,2,12,7,,,,,,,5
"Primaria (013)",5723,212,3021,1417,344,170,107,28,5,,419
"Secundaria (014)",6793,96,2991,2142,574,183,82,24,3,,698
"Sup. no Univ. Incompleta (015)",722,3,174,305,86,21,5,1,,,127
"Sup. no Univ. Completa (016)",1130,7,217,383,220,95,21,3,,,184
"Sup. Univ. Incompleta (017)",881,4,149,294,125,35,9,3,,,262
"Sup. Univ. Completa (018)",1499,4,154,431,345,173,61,10,3,,318
,,,,,,,,,,,
"RURAL (020)",10969,332,5904,2884,642,170,65,26,2,,944
"Sin Nivel (021)",3205,128,1689,834,219,71,31,13,2,,218
"Educación Inicial (022)",22,,12,6,1,,,,,,3
"Primaria (023)",5263,181,3055,1263,246,65,26,10,,,417
"Secundaria (024)",2178,23,1096,666,127,23,4,2,,,237
"Sup. no Univ. Incompleta (025)",97,,26,29,17,,1,,,,24
"Sup. no Univ. Completa (026)",82,,10,36,12,6,3,,,,15
"Sup. Univ. Incompleta (027)",45,,6,24,5,2,,,,,8
"Sup. Univ. Completa (028)",77,,10,26,15,3,,1,,,22
