"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia OTUZCO (000)",29433,1093,10249,9053,6538,2500
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",45,,4,23,15,3
"Profes., científicos e intelectuales (002)",1081,,226,671,177,7
"Técnicos de nivel medio y trab.asimilados (003)",309,,118,128,54,9
"Jefes y empleados de oficina (004)",212,,84,89,36,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1675,23,418,592,499,143
"Agricult.trabaj. calif. agrop. y pesqueros (006)",13373,92,3309,4523,3766,1683
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",946,14,378,291,216,47
"Obreros construc., conf., papel, fab., instr. (008)",686,4,259,254,139,30
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",9405,903,4758,1992,1319,433
"Otra (010)",34,,2,17,15,
"Ocupación no especificada (011)",787,2,268,239,179,99
"Desocupado (012)",880,55,425,234,123,43
"Hombres (013)",23463,742,8127,7192,5290,2112
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",36,,3,16,15,2
"Profes., científicos e intelectuales (015)",517,,99,310,101,7
"Técnicos de nivel medio y trab.asimilados (016)",200,,74,79,39,8
"Jefes y empleados de oficina (017)",123,,43,51,26,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",624,5,159,228,177,55
"Agricult.trabaj. calif. agrop. y pesqueros (019)",12930,91,3177,4404,3639,1619
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",768,10,319,239,161,39
"Obreros construc., conf., papel, fab., instr. (021)",629,4,241,232,130,22
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",6716,591,3633,1356,850,286
"Otra (023)",34,,2,17,15,
"Ocupación no especificada (024)",186,2,60,58,32,34
"Desocupado (025)",700,39,317,202,105,37
"Mujeres (026)",5970,351,2122,1861,1248,388
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",9,,1,7,,1
"Profes., científicos e intelectuales (028)",564,,127,361,76,
"Técnicos de nivel medio y trab.asimilados (029)",109,,44,49,15,1
"Jefes y empleados de oficina (030)",89,,41,38,10,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1051,18,259,364,322,88
"Agricult.trabaj. calif. agrop. y pesqueros (032)",443,1,132,119,127,64
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",178,4,59,52,55,8
