"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TALARA (000)",42659,24829,5135,4871,7824
"Empleado (001)",13303,4418,1789,2653,4443
"Obrero (002)",11870,4466,2002,2084,3318
"Trabajador independiente (003)",14643,13490,1153,,
"Empleador o patrono (004)",848,595,103,97,53
"Trabajador familiar no remunerado (005)",1021,886,88,37,10
"Trabajador del hogar (006)",974,974,,,
"De 06 a 14 años (008)",415,357,47,5,6
"Empleado (009)",60,47,13,,
"Obrero (010)",90,66,16,2,6
"Trabajador independiente (011)",137,131,6,,
"Trabajador familiar no remunerado (013)",104,89,12,3,
"Trabajador del hogar (014)",24,24,,,
"De 15 a 29 años (016)",13999,8420,2090,1526,1963
"Empleado (017)",4560,1924,756,798,1082
"Obrero (018)",4124,1753,810,695,866
"Trabajador independiente (019)",4354,3900,454,,
"Empleador o patrono (020)",201,136,34,17,14
"Trabajador familiar no remunerado (021)",370,317,36,16,1
"Trabajador del hogar (022)",390,390,,,
"De 30 a 44 años (024)",14884,8363,1783,1862,2876
"Empleado (025)",4770,1436,599,1057,1678
"Obrero (026)",4072,1439,702,753,1178
"Trabajador independiente (027)",5142,4731,411,,
"Empleador o patrono (028)",320,215,43,45,17
"Trabajador familiar no remunerado (029)",271,233,28,7,3
"Trabajador del hogar (030)",309,309,,,
"De 45 a 64 años (032)",12138,6759,1124,1404,2851
"Empleado (033)",3682,924,386,760,1612
"Obrero (034)",3349,1082,444,607,1216
"Trabajador independiente (035)",4378,4117,261,,
"Empleador o patrono (036)",283,213,22,28,20
"Trabajador familiar no remunerado (037)",218,195,11,9,3
"Trabajador del hogar (038)",228,228,,,
"De 65 y más años (040)",1223,930,91,74,128
"Empleado (041)",231,87,35,38,71
"Obrero (042)",235,126,30,27,52
"Trabajador independiente (043)",632,611,21,,
"Empleador o patrono (044)",44,31,4,7,2
"Trabajador familiar no remunerado (045)",58,52,1,2,3
"Trabajador del hogar (046)",23,23,,,
,,,,,
"URBANA (048)",41644,24048,5053,4796,7747
"Empleado (049)",13111,4351,1767,2612,4381
"Obrero (050)",11575,4247,1959,2059,3310
"Trabajador independiente (051)",14203,13064,1139,,
"Empleador o patrono (052)",800,565,101,88,46
"Trabajador familiar no remunerado (053)",1004,870,87,37,10
