"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia HUANCA SANCOS",,,,,,
"Viviendas particulares (001)",3400,3303,89,7,1,
"Ocupantes presentes (002)",10465,9811,575,63,16,
"Casa independiente",,,,,,
"Viviendas particulares (004)",2854,2765,81,7,1,
"Ocupantes presentes (005)",9438,8832,527,63,16,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",4,3,1,,,
"Ocupantes presentes (008)",13,8,5,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",15,10,5,,,
"Ocupantes presentes (011)",65,35,30,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",9,7,2,,,
"Ocupantes presentes (014)",32,19,13,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",511,511,,,,
"Ocupantes presentes (017)",883,883,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",1,1,,,,
"Ocupantes presentes (020)",5,5,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",5,5,,,,
"Ocupantes presentes (023)",26,26,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",1,1,,,,
"Ocupantes presentes (026)",3,3,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",2117,2022,87,7,1,
"Ocupantes presentes (029)",7076,6435,562,63,16,
"Casa independiente",,,,,,
"Viviendas particulares (031)",2084,1997,79,7,1,
"Ocupantes presentes (032)",6937,6344,514,63,16,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",4,3,1,,,
"Ocupantes presentes (035)",13,8,5,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",15,10,5,,,
"Ocupantes presentes (038)",65,35,30,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",9,7,2,,,
"Ocupantes presentes (041)",32,19,13,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",1,1,,,,
"Ocupantes presentes (047)",5,5,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",4,4,,,,
"Ocupantes presentes (050)",24,24,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",1283,1281,2,,,
"Ocupantes presentes (056)",3389,3376,13,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",770,768,2,,,
"Ocupantes presentes (059)",2501,2488,13,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",511,511,,,,
"Ocupantes presentes (071)",883,883,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",1,1,,,,
"Ocupantes presentes (077)",2,2,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",1,1,,,,
"Ocupantes presentes (080)",3,3,,,,
