"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",4193,62,1830,1420,382,123,48,19,3,,306
"Catolica (001)",3393,49,1451,1158,316,102,41,15,1,,260
"Cristiana / Evangelica (002)",776,13,371,253,64,21,7,4,2,,41
"Otra (003)",12,,2,6,2,,,,,,2
"Ninguna (004)",12,,6,3,,,,,,,3
,,,,,,,,,,,
"URBANA (006)",1139,16,408,374,152,53,22,9,1,,104
"Catolica (007)",960,14,343,322,129,43,16,7,,,86
"Cristiana / Evangelica (008)",169,2,64,47,22,10,6,2,1,,15
"Otra (009)",4,,,2,1,,,,,,1
"Ninguna (010)",6,,1,3,,,,,,,2
,,,,,,,,,,,
"RURAL (012)",3054,46,1422,1046,230,70,26,10,2,,202
"Catolica (013)",2433,35,1108,836,187,59,25,8,1,,174
"Cristiana / Evangelica (014)",607,11,307,206,42,11,1,2,1,,26
"Otra (015)",8,,2,4,1,,,,,,1
"Ninguna (016)",6,,5,,,,,,,,1
