"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUMBIVILCAS (000)",23119,20185,1579,652,703
"Hombres (001)",14366,12221,1153,465,527
"Mujeres (002)",8753,7964,426,187,176
"De 06 a 14 años (003)",568,539,27,2,
"Hombres (004)",312,290,20,2,
"Mujeres (005)",256,249,7,,
"De 15 a 29 años (006)",5959,5150,442,176,191
"Hombres (007)",3475,2906,320,127,122
"Mujeres (008)",2484,2244,122,49,69
"De 30 a 44 años (009)",7820,6493,619,336,372
"Hombres (010)",4920,3964,448,229,279
"Mujeres (011)",2900,2529,171,107,93
"De 45 a 64 años (012)",6539,5868,409,131,131
"Hombres (013)",4208,3686,303,101,118
"Mujeres (014)",2331,2182,106,30,13
"De 65 y más años (015)",2233,2135,82,7,9
"Hombres (016)",1451,1375,62,6,8
"Mujeres (017)",782,760,20,1,1
,,,,,
"URBANA (018)",5769,4263,564,459,483
"Hombres (019)",3488,2438,391,317,342
"Mujeres (020)",2281,1825,173,142,141
"De 06 a 14 años (021)",184,166,16,2,
"Hombres (022)",116,103,11,2,
"Mujeres (023)",68,63,5,,
"De 15 a 29 años (024)",1727,1329,166,106,126
"Hombres (025)",985,715,119,74,77
"Mujeres (026)",742,614,47,32,49
"De 30 a 44 años (027)",2201,1414,254,260,273
"Hombres (028)",1336,800,169,174,193
"Mujeres (029)",865,614,85,86,80
"De 45 a 64 años (030)",1353,1066,117,88,82
"Hombres (031)",866,647,85,64,70
"Mujeres (032)",487,419,32,24,12
"De 65 y más años (033)",304,288,11,3,2
"Hombres (034)",185,173,7,3,2
"Mujeres (035)",119,115,4,,
,,,,,
"RURAL (036)",17350,15922,1015,193,220
"Hombres (037)",10878,9783,762,148,185
"Mujeres (038)",6472,6139,253,45,35
"De 06 a 14 años (039)",384,373,11,,
"Hombres (040)",196,187,9,,
"Mujeres (041)",188,186,2,,
"De 15 a 29 años (042)",4232,3821,276,70,65
"Hombres (043)",2490,2191,201,53,45
"Mujeres (044)",1742,1630,75,17,20
"De 30 a 44 años (045)",5619,5079,365,76,99
"Hombres (046)",3584,3164,279,55,86
"Mujeres (047)",2035,1915,86,21,13
"De 45 a 64 años (048)",5186,4802,292,43,49
"Hombres (049)",3342,3039,218,37,48
"Mujeres (050)",1844,1763,74,6,1
"De 65 y más años (051)",1929,1847,71,4,7
"Hombres (052)",1266,1202,55,3,6
"Mujeres (053)",663,645,16,1,1
