"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SAN ROMAN (000)",89643,20270,10704,48889,1596,6922,1262
"Conviviente (001)",29901,6270,3771,17198,557,1850,255
"Separado(a) (002)",3550,698,241,2355,58,121,77
"Casado(a) (003)",29661,6386,2927,17324,534,2335,155
"Viudo(a) (004)",3039,233,208,2323,43,202,30
"Divorciado(a) (005)",430,112,34,248,19,14,3
"Soltero(a) (006)",23062,6571,3523,9441,385,2400,742
"Hombres (008)",52009,11986,9203,27475,1058,2159,128
"Conviviente (009)",18317,4025,3314,10156,399,400,23
"Separado(a) (010)",848,209,144,458,15,18,4
"Casado(a) (011)",18191,4394,2628,10371,370,417,11
"Viudo(a) (012)",933,82,139,645,12,52,3
"Divorciado(a) (013)",191,46,29,102,9,5,
"Soltero(a) (014)",13529,3230,2949,5743,253,1267,87
"Mujeres (016)",37634,8284,1501,21414,538,4763,1134
"Conviviente (017)",11584,2245,457,7042,158,1450,232
"Separado(a) (018)",2702,489,97,1897,43,103,73
"Casado(a) (019)",11470,1992,299,6953,164,1918,144
"Viudo(a) (020)",2106,151,69,1678,31,150,27
"Divorciado(a) (021)",239,66,5,146,10,9,3
"Soltero(a) (022)",9533,3341,574,3698,132,1133,655
,,,,,,,
"URBANA (024)",81235,19992,9817,43810,1562,4822,1232
"Conviviente (025)",27859,6225,3500,15897,544,1441,252
"Separado(a) (026)",3257,690,213,2147,57,75,75
"Casado(a) (027)",26223,6271,2678,15019,528,1574,153
"Viudo(a) (028)",2320,229,164,1778,42,77,30
"Divorciado(a) (029)",400,112,30,227,19,9,3
"Soltero(a) (030)",21176,6465,3232,8742,372,1646,719
"Hombres (032)",47222,11808,8469,24293,1036,1489,127
"Conviviente (033)",17022,3991,3073,9237,389,309,23
"Separado(a) (034)",793,206,131,425,15,12,4
"Casado(a) (035)",16047,4305,2404,8695,366,266,11
"Viudo(a) (036)",702,79,117,473,12,18,3
"Divorciado(a) (037)",176,46,28,91,9,2,
"Soltero(a) (038)",12482,3181,2716,5372,245,882,86
"Mujeres (040)",34013,8184,1348,19517,526,3333,1105
"Conviviente (041)",10837,2234,427,6660,155,1132,229
"Separado(a) (042)",2464,484,82,1722,42,63,71
"Casado(a) (043)",10176,1966,274,6324,162,1308,142
"Viudo(a) (044)",1618,150,47,1305,30,59,27
"Divorciado(a) (045)",224,66,2,136,10,7,3
"Soltero(a) (046)",8694,3284,516,3370,127,764,633
,,,,,,,
"RURAL (048)",8408,278,887,5079,34,2100,30
"Conviviente (049)",2042,45,271,1301,13,409,3
"Separado(a) (050)",293,8,28,208,1,46,2
"Casado(a) (051)",3438,115,249,2305,6,761,2
"Viudo(a) (052)",719,4,44,545,1,125,
"Divorciado(a) (053)",30,,4,21,,5,
"Soltero(a) (054)",1886,106,291,699,13,754,23
"Hombres (056)",4787,178,734,3182,22,670,1
"Conviviente (057)",1295,34,241,919,10,91,
"Separado(a) (058)",55,3,13,33,,6,
"Casado(a) (059)",2144,89,224,1676,4,151,
"Viudo(a) (060)",231,3,22,172,,34,
"Divorciado(a) (061)",15,,1,11,,3,
"Soltero(a) (062)",1047,49,233,371,8,385,1
"Mujeres (064)",3621,100,153,1897,12,1430,29
"Conviviente (065)",747,11,30,382,3,318,3
"Separado(a) (066)",238,5,15,175,1,40,2
"Casado(a) (067)",1294,26,25,629,2,610,2
"Viudo(a) (068)",488,1,22,373,1,91,
"Divorciado(a) (069)",15,,3,10,,2,
"Soltero(a) (070)",839,57,58,328,5,369,22
