"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia POMABAMBA (000)",26007,13671,2743,288,9325
"Quechua (001)",22061,12638,1193,167,8074
"Aymara (002)",16,4,7,,5
"Asháninka (003)",1,1,,,
"Otra lengua nativa (004)",1,,,,1
"Castellano (005)",3875,1013,1543,119,1209
"Idioma Extranjero (006)",2,,,2,
"Es Sordomudo/a (007)",51,15,,,36
"Hombres (009)",12539,6377,1358,160,4658
"Quechua (010)",10556,5865,603,92,4005
"Aymara (011)",4,2,2,,
"Asháninka (012)",1,1,,,
"Castellano (014)",1951,502,753,67,634
"Idioma Extranjero (015)",1,,,1,
"Es Sordomudo/a (016)",26,7,,,19
"Mujeres (018)",13468,7294,1385,128,4667
"Quechua (019)",11505,6773,590,75,4069
"Aymara (020)",12,2,5,,5
"Otra lengua nativa (022)",1,,,,1
"Castellano (023)",1924,511,790,52,575
"Idioma Extranjero (024)",1,,,1,
"Es Sordomudo/a (025)",25,8,,,17
,,,,,
"URBANA (027)",5763,1508,1988,162,2118
"Quechua (028)",3088,1070,720,52,1250
"Aymara (029)",6,,6,,
"Otra lengua nativa (031)",1,,,,1
"Castellano (032)",2657,438,1262,108,858
"Idioma Extranjero (033)",2,,,2,
"Es Sordomudo/a (034)",9,,,,9
"Hombres (036)",2799,687,979,101,1040
"Quechua (037)",1470,483,358,38,594
"Aymara (038)",2,,2,,
"Castellano (041)",1321,204,619,62,441
"Idioma Extranjero (042)",1,,,1,
"Es Sordomudo/a (043)",5,,,,5
"Mujeres (045)",2964,821,1009,61,1078
"Quechua (046)",1618,587,362,14,656
"Aymara (047)",4,,4,,
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",1336,234,643,46,417
"Idioma Extranjero (051)",1,,,1,
"Es Sordomudo/a (052)",4,,,,4
,,,,,
"RURAL (054)",20244,12163,755,126,7207
"Quechua (055)",18973,11568,473,115,6824
"Aymara (056)",10,4,1,,5
"Asháninka (057)",1,1,,,
"Castellano (059)",1218,575,281,11,351
"Es Sordomudo/a (061)",42,15,,,27
"Hombres (063)",9740,5690,379,59,3618
"Quechua (064)",9086,5382,245,54,3411
"Aymara (065)",2,2,,,
"Asháninka (066)",1,1,,,
"Castellano (068)",630,298,134,5,193
"Es Sordomudo/a (070)",21,7,,,14
"Mujeres (072)",10504,6473,376,67,3589
"Quechua (073)",9887,6186,228,61,3413
"Aymara (074)",8,2,1,,5
"Castellano (077)",588,277,147,6,158
"Es Sordomudo/a (079)",21,8,,,13
