"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BELLAVISTA (000)",12039,428,6413,2944,724,267,124,43,4,,1092
"Catolica (001)",8265,277,4322,2051,538,196,90,35,3,,753
"Cristiana / Evangelica (002)",2289,74,1254,574,117,43,25,4,1,,197
"Otra (003)",755,37,415,175,42,15,6,2,,,63
"Ninguna (004)",730,40,422,144,27,13,3,2,,,79
,,,,,,,,,,,
"URBANA (006)",6996,215,3543,1841,473,191,95,33,3,,602
"Catolica (007)",5174,150,2584,1379,378,145,66,29,3,,440
"Cristiana / Evangelica (008)",1206,34,622,326,68,31,22,2,,,101
"Otra (009)",281,11,153,63,13,9,5,,,,27
"Ninguna (010)",335,20,184,73,14,6,2,2,,,34
,,,,,,,,,,,
"RURAL (012)",5043,213,2870,1103,251,76,29,10,1,,490
"Catolica (013)",3091,127,1738,672,160,51,24,6,,,313
"Cristiana / Evangelica (014)",1083,40,632,248,49,12,3,2,1,,96
"Otra (015)",474,26,262,112,29,6,1,2,,,36
"Ninguna (016)",395,20,238,71,13,7,1,,,,45
