"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia BOLOGNESI (000)",22998,3317,3881,4525,3798,2635,4842
"Conviviente (001)",6521,74,1039,2347,1608,797,656
"Separado(a) (002)",678,2,64,131,154,126,201
"Casado(a) (003)",6546,13,134,777,1495,1400,2727
"Viudo(a) (004)",1215,,1,32,66,116,1000
"Divorciado(a) (005)",77,,4,6,19,13,35
"Soltero(a) (006)",7961,3228,2639,1232,456,183,223
"Hombres (008)",12056,1729,2064,2512,2066,1344,2341
"Conviviente (009)",3446,31,394,1312,918,431,360
"Separado(a) (010)",209,,14,28,48,45,74
"Casado(a) (011)",3507,5,50,381,810,741,1520
"Viudo(a) (012)",303,,,7,8,21,267
"Divorciado(a) (013)",35,,2,2,8,8,15
"Soltero(a) (014)",4556,1693,1604,782,274,98,105
"Mujeres (016)",10942,1588,1817,2013,1732,1291,2501
"Conviviente (017)",3075,43,645,1035,690,366,296
"Separado(a) (018)",469,2,50,103,106,81,127
"Casado(a) (019)",3039,8,84,396,685,659,1207
"Viudo(a) (020)",912,,1,25,58,95,733
"Divorciado(a) (021)",42,,2,4,11,5,20
"Soltero(a) (022)",3405,1535,1035,450,182,85,118
,,,,,,,
"URBANA (024)",14631,2245,2459,2812,2406,1680,3029
"Conviviente (025)",3783,48,580,1416,951,444,344
"Separado(a) (026)",481,2,44,90,116,90,139
"Casado(a) (027)",4229,8,89,510,977,923,1722
"Viudo(a) (028)",785,,,18,41,83,643
"Divorciado(a) (029)",53,,3,3,8,12,27
"Soltero(a) (030)",5300,2187,1743,775,313,128,154
"Hombres (032)",7388,1160,1290,1452,1238,833,1415
"Conviviente (033)",1914,23,209,727,525,249,181
"Separado(a) (034)",146,,11,16,34,36,49
"Casado(a) (035)",2175,3,28,228,492,468,956
"Viudo(a) (036)",173,,,3,5,13,152
"Divorciado(a) (037)",18,,2,1,1,7,7
"Soltero(a) (038)",2962,1134,1040,477,181,60,70
"Mujeres (040)",7243,1085,1169,1360,1168,847,1614
"Conviviente (041)",1869,25,371,689,426,195,163
"Separado(a) (042)",335,2,33,74,82,54,90
"Casado(a) (043)",2054,5,61,282,485,455,766
"Viudo(a) (044)",612,,,15,36,70,491
"Divorciado(a) (045)",35,,1,2,7,5,20
"Soltero(a) (046)",2338,1053,703,298,132,68,84
,,,,,,,
"RURAL (048)",8367,1072,1422,1713,1392,955,1813
"Conviviente (049)",2738,26,459,931,657,353,312
"Separado(a) (050)",197,,20,41,38,36,62
"Casado(a) (051)",2317,5,45,267,518,477,1005
"Viudo(a) (052)",430,,1,14,25,33,357
"Divorciado(a) (053)",24,,1,3,11,1,8
"Soltero(a) (054)",2661,1041,896,457,143,55,69
"Hombres (056)",4668,569,774,1060,828,511,926
"Conviviente (057)",1532,8,185,585,393,182,179
"Separado(a) (058)",63,,3,12,14,9,25
"Casado(a) (059)",1332,2,22,153,318,273,564
"Viudo(a) (060)",130,,,4,3,8,115
"Divorciado(a) (061)",17,,,1,7,1,8
"Soltero(a) (062)",1594,559,564,305,93,38,35
"Mujeres (064)",3699,503,648,653,564,444,887
"Conviviente (065)",1206,18,274,346,264,171,133
"Separado(a) (066)",134,,17,29,24,27,37
"Casado(a) (067)",985,3,23,114,200,204,441
"Viudo(a) (068)",300,,1,10,22,25,242
"Divorciado(a) (069)",7,,1,2,4,,
"Soltero(a) (070)",1067,482,332,152,50,17,34
