"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAURA (000)",176992,33886,54158,40618,32344,15986
"Hombres (001)",89110,17315,27463,20045,16176,8111
"Mujeres (002)",87882,16571,26695,20573,16168,7875
"PEA (003)",81121,712,26696,29141,20534,4038
"Hombres (004)",53405,500,17750,18425,13683,3047
"Mujeres (005)",27716,212,8946,10716,6851,991
"Ocupada (006)",77761,680,24922,28201,20021,3937
"Hombres (007)",51264,479,16690,17835,13303,2957
"Mujeres (008)",26497,201,8232,10366,6718,980
"Desocupada (009)",3360,32,1774,940,513,101
"Hombres (010)",2141,21,1060,590,380,90
"Mujeres (011)",1219,11,714,350,133,11
"No PEA (012)",95871,33174,27462,11477,11810,11948
"Hombres (013)",35705,16815,9713,1620,2493,5064
"Mujeres (014)",60166,16359,17749,9857,9317,6884
,,,,,,
"URBANA (018)",153300,28980,46756,35558,28129,13877
"Hombres (019)",76377,14770,23504,17307,13854,6942
"Mujeres (020)",76923,14210,23252,18251,14275,6935
"PEA (021)",70582,590,22945,25805,17965,3277
"Hombres (022)",45181,406,14845,15905,11626,2399
"Mujeres (023)",25401,184,8100,9900,6339,878
"Ocupada (024)",67509,563,21329,24938,17488,3191
"Hombres (025)",43245,388,13886,15372,11275,2324
"Mujeres (026)",24264,175,7443,9566,6213,867
"Desocupada (027)",3073,27,1616,867,477,86
"Hombres (028)",1936,18,959,533,351,75
"Mujeres (029)",1137,9,657,334,126,11
"No PEA (030)",82718,28390,23811,9753,10164,10600
"Hombres (031)",31196,14364,8659,1402,2228,4543
"Mujeres (032)",51522,14026,15152,8351,7936,6057
,,,,,,
"RURAL (036)",23692,4906,7402,5060,4215,2109
"Hombres (037)",12733,2545,3959,2738,2322,1169
"Mujeres (038)",10959,2361,3443,2322,1893,940
"PEA (039)",10539,122,3751,3336,2569,761
"Hombres (040)",8224,94,2905,2520,2057,648
"Mujeres (041)",2315,28,846,816,512,113
"Ocupada (042)",10252,117,3593,3263,2533,746
"Hombres (043)",8019,91,2804,2463,2028,633
"Mujeres (044)",2233,26,789,800,505,113
"Desocupada (045)",287,5,158,73,36,15
"Hombres (046)",205,3,101,57,29,15
"Mujeres (047)",82,2,57,16,7,
"No PEA (048)",13153,4784,3651,1724,1646,1348
"Hombres (049)",4509,2451,1054,218,265,521
"Mujeres (050)",8644,2333,2597,1506,1381,827
