"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN ROMAN (000)",60718,368,17122,22022,8561,2885,1129,324,60,,8247
"Catolica (001)",51931,316,14752,18903,7245,2441,937,262,51,,7024
"Cristiana / Evangelica (002)",3742,23,1078,1358,533,184,58,18,2,,488
"Otra (003)",3768,17,959,1314,614,199,110,39,7,,509
"Ninguna (004)",1277,12,333,447,169,61,24,5,,,226
,,,,,,,,,,,
"URBANA (006)",55220,325,15170,19862,7913,2681,1052,306,57,,7854
"Catolica (007)",47059,278,13020,16978,6679,2264,870,245,48,,6677
"Cristiana / Evangelica (008)",3407,20,960,1227,491,170,55,18,2,,464
"Otra (009)",3517,15,870,1224,582,188,103,38,7,,490
"Ninguna (010)",1237,12,320,433,161,59,24,5,,,223
,,,,,,,,,,,
"RURAL (012)",5498,43,1952,2160,648,204,77,18,3,,393
"Catolica (013)",4872,38,1732,1925,566,177,67,17,3,,347
"Cristiana / Evangelica (014)",335,3,118,131,42,14,3,,,,24
"Otra (015)",251,2,89,90,32,11,7,1,,,19
"Ninguna (016)",40,,13,14,8,2,,,,,3
