"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia GRAU (000)",11467,1816,3984,3173,2494
"Asiste actualmente (001)",8633,791,3830,3035,977
"No asiste (002)",2834,1025,154,138,1517
"Hombres (004)",6000,936,2048,1741,1275
"Asiste actualmente (005)",4668,426,1970,1684,588
"No asiste (006)",1332,510,78,57,687
"Mujeres (008)",5467,880,1936,1432,1219
"Asiste actualmente (009)",3965,365,1860,1351,389
"No asiste (010)",1502,515,76,81,830
,,,,,
"URBANA (012)",4723,693,1510,1341,1179
"Asiste actualmente (013)",3659,325,1465,1304,565
"No asiste (014)",1064,368,45,37,614
"Hombres (016)",2402,352,743,720,587
"Asiste actualmente (017)",1905,177,713,697,318
"No asiste (018)",497,175,30,23,269
"Mujeres (020)",2321,341,767,621,592
"Asiste actualmente (021)",1754,148,752,607,247
"No asiste (022)",567,193,15,14,345
,,,,,
"RURAL (024)",6744,1123,2474,1832,1315
"Asiste actualmente (025)",4974,466,2365,1731,412
"No asiste (026)",1770,657,109,101,903
"Hombres (028)",3598,584,1305,1021,688
"Asiste actualmente (029)",2763,249,1257,987,270
"No asiste (030)",835,335,48,34,418
"Mujeres (032)",3146,539,1169,811,627
"Asiste actualmente (033)",2211,217,1108,744,142
"No asiste (034)",935,322,61,67,485
