"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CASTROVIRREYNA (000)",19500,322,6250,4202,3794,3029,1903
"Hombres (001)",10216,185,3162,2300,2144,1590,835
"Mujeres (002)",9284,137,3088,1902,1650,1439,1068
"Viviendas particulares (003)",18472,318,6235,3751,3413,2858,1897
"Hombres (004)",9327,182,3157,1924,1799,1434,831
"Mujeres (005)",9145,136,3078,1827,1614,1424,1066
"Viviendas colectivas (006)",997,4,14,440,370,163,6
"Hombres (007)",865,3,4,367,337,150,4
"Mujeres (008)",132,1,10,73,33,13,2
"Otro tipo (009)",31,,1,11,11,8,
"Hombres (010)",24,,1,9,8,6,
"Mujeres (011)",7,,,2,3,2,
,,,,,,,
"URBANA (012)",6128,88,1598,1538,1368,1000,536
"Hombres (013)",3331,48,788,894,790,574,237
"Mujeres (014)",2797,40,810,644,578,426,299
"Viviendas particulares (015)",5542,86,1586,1307,1145,888,530
"Hombres (016)",2839,47,783,707,599,470,233
"Mujeres (017)",2703,39,803,600,546,418,297
"Viviendas colectivas (018)",560,2,11,221,216,104,6
"Hombres (019)",473,1,4,179,187,98,4
"Mujeres (020)",87,1,7,42,29,6,2
"Otro tipo (021)",26,,1,10,7,8,
"Hombres (022)",19,,1,8,4,6,
"Mujeres (023)",7,,,2,3,2,
,,,,,,,
"RURAL (024)",13372,234,4652,2664,2426,2029,1367
"Hombres (025)",6885,137,2374,1406,1354,1016,598
"Mujeres (026)",6487,97,2278,1258,1072,1013,769
"Viviendas particulares (027)",12930,232,4649,2444,2268,1970,1367
"Hombres (028)",6488,135,2374,1217,1200,964,598
"Mujeres (029)",6442,97,2275,1227,1068,1006,769
"Viviendas colectivas (030)",437,2,3,219,154,59,
"Hombres (031)",392,2,,188,150,52,
"Mujeres (032)",45,,3,31,4,7,
"Otro tipo (033)",5,,,1,4,,
"Hombres (034)",5,,,1,4,,
